0,1,2,3,4,5,6,7
"ACOMPANHAMENTO DIÁRIO
01/04/25","ACOMPANHAMENTO DIÁRIO
01/04/25",PETROBRAS,PETROBRAS,PETROBRAS,PETROBRAS,PETROBRAS,ACELEN
"ACOMPANHAMENTO DIÁRIO
01/04/25","ACOMPANHAMENTO DIÁRIO
01/04/25",Itaqui_,Suape _,Paulínia,Araucária,Itacoatiara _,Aratu
Óleo Diesel A,,"3,4460","3,4189","3,5826","3,5538","3,5547","3,4961"
Óleo Diesel A,,36350,36350,38501,"3,808",36516,37196
Óleo Diesel A,Defasagem (RS[L),"-0,1890","0,2161","0,2675","0,2549",0969,"0,2235"
Óleo Diesel A,% Defasado,-5%,6%,-79,,,6%
Gasolina A,,"2,9003",29176,"3,0308","2,9909","2,9958","3,0432"
Gasolina A,,29816,29816,"3,1851",31437,29983,"3,0663"
Gasolina A,Defasagem (RS/L),"-0,0813","0,0640","0,1543","0,1528",,"0,0231"
Gasolina A,% Defasado,,,,,,
"Abicom IStoneX
Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu (Acelen)
polos acima
""Defasagem Média nos Principais Polos, considerando os
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*","Abicom IStoneX
Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu (Acelen)
polos acima
""Defasagem Média nos Principais Polos, considerando os
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*","Abicom IStoneX
Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu (Acelen)
polos acima
""Defasagem Média nos Principais Polos, considerando os
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*","Abicom IStoneX
Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu (Acelen)
polos acima
""Defasagem Média nos Principais Polos, considerando os
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*","Abicom IStoneX
Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu (Acelen)
polos acima
""Defasagem Média nos Principais Polos, considerando os
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*","Abicom IStoneX
Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu (Acelen)
polos acima
""Defasagem Média nos Principais Polos, considerando os
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*","Abicom IStoneX
Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu (Acelen)
polos acima
""Defasagem Média nos Principais Polos, considerando os
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*","Abicom IStoneX
Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu (Acelen)
polos acima
""Defasagem Média nos Principais Polos, considerando os
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*"
"Média RSI
01/04/25
Média (%)
Máxima (RSIL)
Óleo DieselA
-0 10
0,20
027
0,09
-0,15
Gasolina A
3%
0,00
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**","Média RSI
01/04/25
Média (%)
Máxima (RSIL)
Óleo DieselA
-0 10
0,20
027
0,09
-0,15
Gasolina A
3%
0,00
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**","Média RSI
01/04/25
Média (%)
Máxima (RSIL)
Óleo DieselA
-0 10
0,20
027
0,09
-0,15
Gasolina A
3%
0,00
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**","Média RSI
01/04/25
Média (%)
Máxima (RSIL)
Óleo DieselA
-0 10
0,20
027
0,09
-0,15
Gasolina A
3%
0,00
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**","Média RSI
01/04/25
Média (%)
Máxima (RSIL)
Óleo DieselA
-0 10
0,20
027
0,09
-0,15
Gasolina A
3%
0,00
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**","Média RSI
01/04/25
Média (%)
Máxima (RSIL)
Óleo DieselA
-0 10
0,20
027
0,09
-0,15
Gasolina A
3%
0,00
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**","Média RSI
01/04/25
Média (%)
Máxima (RSIL)
Óleo DieselA
-0 10
0,20
027
0,09
-0,15
Gasolina A
3%
0,00
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**","Média RSI
01/04/25
Média (%)
Máxima (RSIL)
Óleo DieselA
-0 10
0,20
027
0,09
-0,15
Gasolina A
3%
0,00
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**"
"Média[RsI
01/04/25","Média[RsI
01/04/25","Média[RsI
01/04/25","Média[RsI
01/04/25","Média[RsI
01/04/25","Média[RsI
01/04/25","Média[RsI
01/04/25","Média[RsI
01/04/25"
"Óleo Diesel A
-0,27
-0,10
-6%
0,21
ENERGIA
ABICOM - PPI
Gasolina A
39","Óleo Diesel A
-0,27
-0,10
-6%
0,21
ENERGIA
ABICOM - PPI
Gasolina A
39","Óleo Diesel A
-0,27
-0,10
-6%
0,21
ENERGIA
ABICOM - PPI
Gasolina A
39","Óleo Diesel A
-0,27
-0,10
-6%
0,21
ENERGIA
ABICOM - PPI
Gasolina A
39","Óleo Diesel A
-0,27
-0,10
-6%
0,21
ENERGIA
ABICOM - PPI
Gasolina A
39","Óleo Diesel A
-0,27
-0,10
-6%
0,21
ENERGIA
ABICOM - PPI
Gasolina A
39","Óleo Diesel A
-0,27
-0,10
-6%
0,21
ENERGIA
ABICOM - PPI
Gasolina A
39","Óleo Diesel A
-0,27
-0,10
-6%
0,21
ENERGIA
ABICOM - PPI
Gasolina A
39"
