0,1,2,3,4,5,6,7
"ACOMPANHAMENTO DIÁRIO
10/04/25","ACOMPANHAMENTO DIÁRIO
10/04/25",PETROBRAS,PETROBRAS,PETROBRAS,PETROBRAS,PETROBRAS,ACELEN
"ACOMPANHAMENTO DIÁRIO
10/04/25","ACOMPANHAMENTO DIÁRIO
10/04/25",Itaqui_,Suape,Paulínia,Araucária,Itacoatiara,Aratu
"Óleo
Diesel A",Preco [RSIL),"3,4460","3,4189","3,5826","3,5538","3,5547","3,3653"
"Óleo
Diesel A",,"3,4614","3,4614","3,6576",36162,"3,4781","3,5461"
"Óleo
Diesel A",Defasagem (RS[L),"0,0154","-0,0425","0,0750","-0,0624",0766,"-0,1808"
"Óleo
Diesel A",% Defasado,0%,-1%,2%,,,5%
Gasolina A,Preco [RSIL),"2,9003",29176,"3,0308",29909,9958,27462
Gasolina A,,29018,29018,"3,0885","3,0471",29184,29864
Gasolina A,Defasagem (RS/L),"0,0015","0,0158","0,0577","0,0562","0,0774","-0,2402"
Gasolina A,% Defasado,09,,,,,99
