0,1,2,3,4,5,6,7
"ACOMPANHAMENTO DIÁRIO
04/04/25","ACOMPANHAMENTO DIÁRIO
04/04/25",PETROBRAS,PETROBRAS,PETROBRAS,PETROBRAS,PETROBRAS,ACELEN
"ACOMPANHAMENTO DIÁRIO
04/04/25","ACOMPANHAMENTO DIÁRIO
04/04/25",Itaqui,Suape,Paulínia _,Araucária,Itacoatiara,Aratu
Óleo Diesel A,,"3,4460","3,4189","3,5826","3,5538","3,5547","3,5253"
Óleo Diesel A,,23367,33367,"3,5449",35035,3353,"3,4213"
Óleo Diesel A,Defasagem (RS[L),"0,1093",0822,"0,03-",0503,201,"0,1040"
Óleo Diesel A,% Defasado,39,2%,,,,3%
Gasolina A,,"2,9003",29176,"3,0308",9909,9958,"3,0762"
Gasolina A,,28122,28122,"3,0095",29681,28289,28968
Gasolina A,Defasagem (RS/L),"0,0881","0,1054",0213,"0,0228",",1669","0,1794"
Gasolina A,% Defasado,,49,,,,
"Abicom IStoneX
Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu
Acelen)
""Defasagem Média nos Principais Polos, considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média RSI
04/04/25
Média (%)
Óleo DieselA
04
Gasolina A
3%
0,08
0,17
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
04/04/25
Média (RSL
Mínima (RSD
0,10
0,20
3%
0,04
ENERGIA
ABICOM - PPI
Gasolina A
0 10
0,18
39
0.02","Abicom IStoneX
Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu
Acelen)
""Defasagem Média nos Principais Polos, considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média RSI
04/04/25
Média (%)
Óleo DieselA
04
Gasolina A
3%
0,08
0,17
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
04/04/25
Média (RSL
Mínima (RSD
0,10
0,20
3%
0,04
ENERGIA
ABICOM - PPI
Gasolina A
0 10
0,18
39
0.02","Abicom IStoneX
Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu
Acelen)
""Defasagem Média nos Principais Polos, considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média RSI
04/04/25
Média (%)
Óleo DieselA
04
Gasolina A
3%
0,08
0,17
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
04/04/25
Média (RSL
Mínima (RSD
0,10
0,20
3%
0,04
ENERGIA
ABICOM - PPI
Gasolina A
0 10
0,18
39
0.02","Abicom IStoneX
Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu
Acelen)
""Defasagem Média nos Principais Polos, considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média RSI
04/04/25
Média (%)
Óleo DieselA
04
Gasolina A
3%
0,08
0,17
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
04/04/25
Média (RSL
Mínima (RSD
0,10
0,20
3%
0,04
ENERGIA
ABICOM - PPI
Gasolina A
0 10
0,18
39
0.02","Abicom IStoneX
Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu
Acelen)
""Defasagem Média nos Principais Polos, considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média RSI
04/04/25
Média (%)
Óleo DieselA
04
Gasolina A
3%
0,08
0,17
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
04/04/25
Média (RSL
Mínima (RSD
0,10
0,20
3%
0,04
ENERGIA
ABICOM - PPI
Gasolina A
0 10
0,18
39
0.02","Abicom IStoneX
Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu
Acelen)
""Defasagem Média nos Principais Polos, considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média RSI
04/04/25
Média (%)
Óleo DieselA
04
Gasolina A
3%
0,08
0,17
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
04/04/25
Média (RSL
Mínima (RSD
0,10
0,20
3%
0,04
ENERGIA
ABICOM - PPI
Gasolina A
0 10
0,18
39
0.02","Abicom IStoneX
Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu
Acelen)
""Defasagem Média nos Principais Polos, considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média RSI
04/04/25
Média (%)
Óleo DieselA
04
Gasolina A
3%
0,08
0,17
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
04/04/25
Média (RSL
Mínima (RSD
0,10
0,20
3%
0,04
ENERGIA
ABICOM - PPI
Gasolina A
0 10
0,18
39
0.02","Abicom IStoneX
Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu
Acelen)
""Defasagem Média nos Principais Polos, considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média RSI
04/04/25
Média (%)
Óleo DieselA
04
Gasolina A
3%
0,08
0,17
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
04/04/25
Média (RSL
Mínima (RSD
0,10
0,20
3%
0,04
ENERGIA
ABICOM - PPI
Gasolina A
0 10
0,18
39
0.02"
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*,DEFASAGEM MÉDIA NOS POLOS PETROBRAS*,DEFASAGEM MÉDIA NOS POLOS PETROBRAS*,DEFASAGEM MÉDIA NOS POLOS PETROBRAS*,DEFASAGEM MÉDIA NOS POLOS PETROBRAS*,"Abicom IStoneX
Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu
Acelen)
""Defasagem Média nos Principais Polos, considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média RSI
04/04/25
Média (%)
Óleo DieselA
04
Gasolina A
3%
0,08
0,17
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
04/04/25
Média (RSL
Mínima (RSD
0,10
0,20
3%
0,04
ENERGIA
ABICOM - PPI
Gasolina A
0 10
0,18
39
0.02","Abicom IStoneX
Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu
Acelen)
""Defasagem Média nos Principais Polos, considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média RSI
04/04/25
Média (%)
Óleo DieselA
04
Gasolina A
3%
0,08
0,17
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
04/04/25
Média (RSL
Mínima (RSD
0,10
0,20
3%
0,04
ENERGIA
ABICOM - PPI
Gasolina A
0 10
0,18
39
0.02","Abicom IStoneX
Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu
Acelen)
""Defasagem Média nos Principais Polos, considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média RSI
04/04/25
Média (%)
Óleo DieselA
04
Gasolina A
3%
0,08
0,17
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
04/04/25
Média (RSL
Mínima (RSD
0,10
0,20
3%
0,04
ENERGIA
ABICOM - PPI
Gasolina A
0 10
0,18
39
0.02"
04/04/25,Média (%),Média RSI,,,"Abicom IStoneX
Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu
Acelen)
""Defasagem Média nos Principais Polos, considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média RSI
04/04/25
Média (%)
Óleo DieselA
04
Gasolina A
3%
0,08
0,17
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
04/04/25
Média (RSL
Mínima (RSD
0,10
0,20
3%
0,04
ENERGIA
ABICOM - PPI
Gasolina A
0 10
0,18
39
0.02","Abicom IStoneX
Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu
Acelen)
""Defasagem Média nos Principais Polos, considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média RSI
04/04/25
Média (%)
Óleo DieselA
04
Gasolina A
3%
0,08
0,17
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
04/04/25
Média (RSL
Mínima (RSD
0,10
0,20
3%
0,04
ENERGIA
ABICOM - PPI
Gasolina A
0 10
0,18
39
0.02","Abicom IStoneX
Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu
Acelen)
""Defasagem Média nos Principais Polos, considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média RSI
04/04/25
Média (%)
Óleo DieselA
04
Gasolina A
3%
0,08
0,17
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
04/04/25
Média (RSL
Mínima (RSD
0,10
0,20
3%
0,04
ENERGIA
ABICOM - PPI
Gasolina A
0 10
0,18
39
0.02"
Óleo DieselA,,,,04,"Abicom IStoneX
Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu
Acelen)
""Defasagem Média nos Principais Polos, considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média RSI
04/04/25
Média (%)
Óleo DieselA
04
Gasolina A
3%
0,08
0,17
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
04/04/25
Média (RSL
Mínima (RSD
0,10
0,20
3%
0,04
ENERGIA
ABICOM - PPI
Gasolina A
0 10
0,18
39
0.02","Abicom IStoneX
Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu
Acelen)
""Defasagem Média nos Principais Polos, considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média RSI
04/04/25
Média (%)
Óleo DieselA
04
Gasolina A
3%
0,08
0,17
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
04/04/25
Média (RSL
Mínima (RSD
0,10
0,20
3%
0,04
ENERGIA
ABICOM - PPI
Gasolina A
0 10
0,18
39
0.02","Abicom IStoneX
Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu
Acelen)
""Defasagem Média nos Principais Polos, considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média RSI
04/04/25
Média (%)
Óleo DieselA
04
Gasolina A
3%
0,08
0,17
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
04/04/25
Média (RSL
Mínima (RSD
0,10
0,20
3%
0,04
ENERGIA
ABICOM - PPI
Gasolina A
0 10
0,18
39
0.02"
Gasolina A,3%,"0,08","0,17",,"Abicom IStoneX
Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu
Acelen)
""Defasagem Média nos Principais Polos, considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média RSI
04/04/25
Média (%)
Óleo DieselA
04
Gasolina A
3%
0,08
0,17
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
04/04/25
Média (RSL
Mínima (RSD
0,10
0,20
3%
0,04
ENERGIA
ABICOM - PPI
Gasolina A
0 10
0,18
39
0.02","Abicom IStoneX
Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu
Acelen)
""Defasagem Média nos Principais Polos, considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média RSI
04/04/25
Média (%)
Óleo DieselA
04
Gasolina A
3%
0,08
0,17
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
04/04/25
Média (RSL
Mínima (RSD
0,10
0,20
3%
0,04
ENERGIA
ABICOM - PPI
Gasolina A
0 10
0,18
39
0.02","Abicom IStoneX
Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu
Acelen)
""Defasagem Média nos Principais Polos, considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média RSI
04/04/25
Média (%)
Óleo DieselA
04
Gasolina A
3%
0,08
0,17
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
04/04/25
Média (RSL
Mínima (RSD
0,10
0,20
3%
0,04
ENERGIA
ABICOM - PPI
Gasolina A
0 10
0,18
39
0.02"
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**,DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**,DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**,DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**,DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**,"Abicom IStoneX
Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu
Acelen)
""Defasagem Média nos Principais Polos, considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média RSI
04/04/25
Média (%)
Óleo DieselA
04
Gasolina A
3%
0,08
0,17
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
04/04/25
Média (RSL
Mínima (RSD
0,10
0,20
3%
0,04
ENERGIA
ABICOM - PPI
Gasolina A
0 10
0,18
39
0.02","Abicom IStoneX
Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu
Acelen)
""Defasagem Média nos Principais Polos, considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média RSI
04/04/25
Média (%)
Óleo DieselA
04
Gasolina A
3%
0,08
0,17
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
04/04/25
Média (RSL
Mínima (RSD
0,10
0,20
3%
0,04
ENERGIA
ABICOM - PPI
Gasolina A
0 10
0,18
39
0.02","Abicom IStoneX
Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu
Acelen)
""Defasagem Média nos Principais Polos, considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média RSI
04/04/25
Média (%)
Óleo DieselA
04
Gasolina A
3%
0,08
0,17
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
04/04/25
Média (RSL
Mínima (RSD
0,10
0,20
3%
0,04
ENERGIA
ABICOM - PPI
Gasolina A
0 10
0,18
39
0.02"
04/04/25,,Média (RSL,,Mínima (RSD,"Abicom IStoneX
Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu
Acelen)
""Defasagem Média nos Principais Polos, considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média RSI
04/04/25
Média (%)
Óleo DieselA
04
Gasolina A
3%
0,08
0,17
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
04/04/25
Média (RSL
Mínima (RSD
0,10
0,20
3%
0,04
ENERGIA
ABICOM - PPI
Gasolina A
0 10
0,18
39
0.02","Abicom IStoneX
Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu
Acelen)
""Defasagem Média nos Principais Polos, considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média RSI
04/04/25
Média (%)
Óleo DieselA
04
Gasolina A
3%
0,08
0,17
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
04/04/25
Média (RSL
Mínima (RSD
0,10
0,20
3%
0,04
ENERGIA
ABICOM - PPI
Gasolina A
0 10
0,18
39
0.02","Abicom IStoneX
Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu
Acelen)
""Defasagem Média nos Principais Polos, considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média RSI
04/04/25
Média (%)
Óleo DieselA
04
Gasolina A
3%
0,08
0,17
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
04/04/25
Média (RSL
Mínima (RSD
0,10
0,20
3%
0,04
ENERGIA
ABICOM - PPI
Gasolina A
0 10
0,18
39
0.02"
,3%,"0,10","0,20","0,04","Abicom IStoneX
Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu
Acelen)
""Defasagem Média nos Principais Polos, considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média RSI
04/04/25
Média (%)
Óleo DieselA
04
Gasolina A
3%
0,08
0,17
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
04/04/25
Média (RSL
Mínima (RSD
0,10
0,20
3%
0,04
ENERGIA
ABICOM - PPI
Gasolina A
0 10
0,18
39
0.02","Abicom IStoneX
Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu
Acelen)
""Defasagem Média nos Principais Polos, considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média RSI
04/04/25
Média (%)
Óleo DieselA
04
Gasolina A
3%
0,08
0,17
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
04/04/25
Média (RSL
Mínima (RSD
0,10
0,20
3%
0,04
ENERGIA
ABICOM - PPI
Gasolina A
0 10
0,18
39
0.02","Abicom IStoneX
Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu
Acelen)
""Defasagem Média nos Principais Polos, considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média RSI
04/04/25
Média (%)
Óleo DieselA
04
Gasolina A
3%
0,08
0,17
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
04/04/25
Média (RSL
Mínima (RSD
0,10
0,20
3%
0,04
ENERGIA
ABICOM - PPI
Gasolina A
0 10
0,18
39
0.02"
Gasolina A,39,0 10,"0,18",0.02,"Abicom IStoneX
Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu
Acelen)
""Defasagem Média nos Principais Polos, considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média RSI
04/04/25
Média (%)
Óleo DieselA
04
Gasolina A
3%
0,08
0,17
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
04/04/25
Média (RSL
Mínima (RSD
0,10
0,20
3%
0,04
ENERGIA
ABICOM - PPI
Gasolina A
0 10
0,18
39
0.02","Abicom IStoneX
Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu
Acelen)
""Defasagem Média nos Principais Polos, considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média RSI
04/04/25
Média (%)
Óleo DieselA
04
Gasolina A
3%
0,08
0,17
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
04/04/25
Média (RSL
Mínima (RSD
0,10
0,20
3%
0,04
ENERGIA
ABICOM - PPI
Gasolina A
0 10
0,18
39
0.02","Abicom IStoneX
Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu
Acelen)
""Defasagem Média nos Principais Polos, considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média RSI
04/04/25
Média (%)
Óleo DieselA
04
Gasolina A
3%
0,08
0,17
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
04/04/25
Média (RSL
Mínima (RSD
0,10
0,20
3%
0,04
ENERGIA
ABICOM - PPI
Gasolina A
0 10
0,18
39
0.02"
