0,1,2,3,4,5,6,7
"ACOMPANHAMENTO DIÁRIO
11/04/25","ACOMPANHAMENTO DIÁRIO
11/04/25",PETROBRAS,PETROBRAS,PETROBRAS,PETROBRAS,PETROBRAS,ACELEN
"ACOMPANHAMENTO DIÁRIO
11/04/25","ACOMPANHAMENTO DIÁRIO
11/04/25",Itaqui,Suape _,Paulínia,Araucária,Itacoatiara,Aratu
lóleo Diesel A,,"3,4460","3,4189",35826,35538,35547,33653
lóleo Diesel A,PPI (RSIL),"3,3007","3,3007","3,4901","3,448","3,3173","3,3853"
lóleo Diesel A,,"0,1453","0,1182",0925,"0,1051",2374,"0,0200"
lóleo Diesel A,% Defasado,4%,3%,3%,3%,,
Gasolina A,,29003,29176,30308,9909,9958,27462
Gasolina A,PPI (RSIL),27048,27048,28856,28442,27215,27895
Gasolina A,Defasagem (RS/L),"0,1955","0,2128",1452,"0,146",2743,"-0,0433"
Gasolina A,% Defasado,,,,,,
