0,1,2,3,4,5,6,7
"ACOMPANHAMENTO DIÁRIO
07/04/25","ACOMPANHAMENTO DIÁRIO
07/04/25",PETROBRAS,PETROBRAS,PETROBRAS,PETROBRAS,PETROBRAS,ACELEN
"ACOMPANHAMENTO DIÁRIO
07/04/25","ACOMPANHAMENTO DIÁRIO
07/04/25",Itaqui_,Suape,Paulínia,Araucária,Itacoatiara,Aratu
"Óleo
Diesel A",Preco [RSIL),"3,4460","3,4189","3,5826",35538,"3,5547","3,5253"
"Óleo
Diesel A",,,"3,2607","3,4670","3,4256",32773,33453
"Óleo
Diesel A",Defasagem (RS[L),"0,1853","0,1582","0,1156","0,1282","0,2774","0,1800"
"Óleo
Diesel A",% Defasado,5%,5%,3%,,8%,5%
Gasolina A,Preco [RSIL),"2,9003","2,9176","3,0308","2,9909",9958,"3,0762"
Gasolina A,,27752,"2,7752",29710,29296,27919,28599
Gasolina A,Defasagem (RS/L),"0,1251","0,1424","0,0598","0,0613","0,2039","0,2163"
Gasolina A,% Defasado,49,,,,,
