0,1,2,3,4,5,6,7
"ACOMPANHAMENTO DIÁRIO
02/04/25","ACOMPANHAMENTO DIÁRIO
02/04/25",PETROBRAS,PETROBRAS,PETROBRAS,PETROBRAS,PETROBRAS,ACELEN
"ACOMPANHAMENTO DIÁRIO
02/04/25","ACOMPANHAMENTO DIÁRIO
02/04/25",Itaqui,Suape,Paulínia,Araucária,Itacoatiara,Aratu
Óleo Diesel A,,"3,4460","3,4189",35826,"3,5538",35547,"3,4961"
Óleo Diesel A,PPRSI,"3,5742","3,5742",37886,37472,"3,5908",36588
Óleo Diesel A,Defasagem [RS[L),"-0,1282","-0,1553","0,2060","0,1934",036-,"-0,1627"
Óleo Diesel A,Defasado,,5%,-6%,5%,,-5%
Gasolina A,,29003,29176,"3,0308",29909,29958,"3,0432"
Gasolina A,PPRSI,30216,"3,0216",32244,"3,1830",0382,"3,1062"
Gasolina A,Defasagem (RS/L),"0,1213","-0,1040","0,1936","-0,1921",0424,"-0,0630"
Gasolina A,% Defasado,49,,,,,
