0,1,2,3,4,5,6,7
"ACOMPANHAMENTO DIÁRIO
09/04/25","ACOMPANHAMENTO DIÁRIO
09/04/25",PETROBRAS,PETROBRAS,PETROBRAS,PETROBRAS,PETROBRAS,ACELEN
"ACOMPANHAMENTO DIÁRIO
09/04/25","ACOMPANHAMENTO DIÁRIO
09/04/25",Itaqui_,Suape,Paulínia,Araucária,Itacoatiara,Aratu
"Óleo
Diesel A",Preco [RSIL),"3,4460","3,4189","3,5826",35538,"3,5547","3,5253"
"Óleo
Diesel A",,"3,3027",33027,"3,5043","3,4630",33194,33873
"Óleo
Diesel A",Defasagem (RS[L),"0,1433","0,1162","0,0783",0908,"0,2353","0,1380"
"Óleo
Diesel A",% Defasado,4%,3%,,,,4%
Gasolina A,Preco [RSIL),"2,9003","2,9176","3,0308","2,9909",9958,"3,0762"
Gasolina A,,27547,"2,754Z",29463,29049,27714,28393
Gasolina A,Defasagem (RS/L),"0,1456","0,1629",0845,"0,0860","0,2244","0,2369"
Gasolina A,% Defasado,59,,,,,89
"'Defasagem Média Petrobras considera os
Abicom
StoneX
polos Petrobras
não inclui Aratu (Acelen)
'Defasagem Média nos Principais Polos considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*","'Defasagem Média Petrobras considera os
Abicom
StoneX
polos Petrobras
não inclui Aratu (Acelen)
'Defasagem Média nos Principais Polos considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*","'Defasagem Média Petrobras considera os
Abicom
StoneX
polos Petrobras
não inclui Aratu (Acelen)
'Defasagem Média nos Principais Polos considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*","'Defasagem Média Petrobras considera os
Abicom
StoneX
polos Petrobras
não inclui Aratu (Acelen)
'Defasagem Média nos Principais Polos considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*","'Defasagem Média Petrobras considera os
Abicom
StoneX
polos Petrobras
não inclui Aratu (Acelen)
'Defasagem Média nos Principais Polos considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*","'Defasagem Média Petrobras considera os
Abicom
StoneX
polos Petrobras
não inclui Aratu (Acelen)
'Defasagem Média nos Principais Polos considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*","'Defasagem Média Petrobras considera os
Abicom
StoneX
polos Petrobras
não inclui Aratu (Acelen)
'Defasagem Média nos Principais Polos considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*","'Defasagem Média Petrobras considera os
Abicom
StoneX
polos Petrobras
não inclui Aratu (Acelen)
'Defasagem Média nos Principais Polos considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*"
"09/04/25
Média
Óleo DieselA
013
0,24
08","09/04/25
Média
Óleo DieselA
013
0,24
08","09/04/25
Média
Óleo DieselA
013
0,24
08","09/04/25
Média
Óleo DieselA
013
0,24
08","09/04/25
Média
Óleo DieselA
013
0,24
08","09/04/25
Média
Óleo DieselA
013
0,24
08","09/04/25
Média
Óleo DieselA
013
0,24
08","09/04/25
Média
Óleo DieselA
013
0,24
08"
"0,22
014
Gasolina A
5%
08
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**","0,22
014
Gasolina A
5%
08
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**","0,22
014
Gasolina A
5%
08
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**","0,22
014
Gasolina A
5%
08
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**","0,22
014
Gasolina A
5%
08
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**","0,22
014
Gasolina A
5%
08
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**","0,22
014
Gasolina A
5%
08
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**","0,22
014
Gasolina A
5%
08
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**"
"MédiaRsI
09/04/25
Mínima (RSL","MédiaRsI
09/04/25
Mínima (RSL","MédiaRsI
09/04/25
Mínima (RSL","MédiaRsI
09/04/25
Mínima (RSL","MédiaRsI
09/04/25
Mínima (RSL","MédiaRsI
09/04/25
Mínima (RSL","MédiaRsI
09/04/25
Mínima (RSL","MédiaRsI
09/04/25
Mínima (RSL"
"Óleo Diesel A
0,13
0,24
0,08
4%
ENERGIA
ABICOM - PPI
0,16
0,24
0,08
Gasolina A
59","Óleo Diesel A
0,13
0,24
0,08
4%
ENERGIA
ABICOM - PPI
0,16
0,24
0,08
Gasolina A
59","Óleo Diesel A
0,13
0,24
0,08
4%
ENERGIA
ABICOM - PPI
0,16
0,24
0,08
Gasolina A
59","Óleo Diesel A
0,13
0,24
0,08
4%
ENERGIA
ABICOM - PPI
0,16
0,24
0,08
Gasolina A
59","Óleo Diesel A
0,13
0,24
0,08
4%
ENERGIA
ABICOM - PPI
0,16
0,24
0,08
Gasolina A
59","Óleo Diesel A
0,13
0,24
0,08
4%
ENERGIA
ABICOM - PPI
0,16
0,24
0,08
Gasolina A
59","Óleo Diesel A
0,13
0,24
0,08
4%
ENERGIA
ABICOM - PPI
0,16
0,24
0,08
Gasolina A
59","Óleo Diesel A
0,13
0,24
0,08
4%
ENERGIA
ABICOM - PPI
0,16
0,24
0,08
Gasolina A
59"
