0,1,2,3,4,5,6,7
"ACOMPANHAMENTO DIÁRIO
17/03/25","ACOMPANHAMENTO DIÁRIO
17/03/25",PETROBRAS,PETROBRAS,PETROBRAS,PETROBRAS,PETROBRAS,ACELEN
"ACOMPANHAMENTO DIÁRIO
17/03/25","ACOMPANHAMENTO DIÁRIO
17/03/25",Itagui,Suape_,Paulínia_,Araucária,Itacoatiara,Aratu
Óleo Diesel A,,"3,6160","3,5889","3,7526","3,7238","3,7247","3,6451"
Óleo Diesel A,PPIRSI,33826,"3,3826","3,5606","3,5192",3993,"3,4672"
Óleo Diesel A,Defasagem [RS[L),"0,2334",2063,"0,1920","0,2046",3254,"0,1779"
Óleo Diesel A,% Defasado,6%,,5%,,,5%
Gasolina A,,9003,"2,9176","3,0308","2,9909",9958,"2,9007"
Gasolina A,PPIRSI,28023,28023,29730,29316,28190,28869
Gasolina A,Defasagem (RS/L),"0,0980","0,1153",0578,"0,0593",1768,"0,0138"
Gasolina A,% Defasado,,49,,,,
