0,1,2,3,4,5,6,7
"ACOMPANHAMENTO DIÁRIO
10/03/25","ACOMPANHAMENTO DIÁRIO
10/03/25",PETROBRAS,PETROBRAS,PETROBRAS,PETROBRAS,PETROBRAS,ACELEN
"ACOMPANHAMENTO DIÁRIO
10/03/25","ACOMPANHAMENTO DIÁRIO
10/03/25",Itaqui,Suape,Paulínia,Araucária,Itacoatiara,Aratu
"Óleo
Diesel A",,"3,6160",35889,37526,37238,37247,37141
"Óleo
Diesel A",PPI (RS/L),"3,4664","3,4664","3,6471","3,6057","3,4831","3,5510"
"Óleo
Diesel A",Defasagem [RSI),"0,1496",021225,"0,1055","0,1181",2416,"0,1631"
"Óleo
Diesel A",% Defasado,,3%,3%,3%,,4%
Gasolina A,,29003,29176,30308,9909,9958,3088
Gasolina A,PPI (RS/L),27630,27630,29437,29023,27797,"2,8477"
Gasolina A,Defasagem [RS/L),"0,1373","0,1546",0871,0886,2161,"0,2410"
Gasolina A,% Defasado,5%,5%,,,,8%
