0,1,2,3,4,5,6,7
"ACOMPANHAMENTO DIÁRIO
25/03 /25","ACOMPANHAMENTO DIÁRIO
25/03 /25",PETROBRAS,PETROBRAS,PETROBRAS,PETROBRAS,PETROBRAS,ACELEN
"ACOMPANHAMENTO DIÁRIO
25/03 /25","ACOMPANHAMENTO DIÁRIO
25/03 /25",Itaqui,Suape _,Paulínia,Araucária,Itacoatiara,Aratu
"Óleo
Diesel A",,,35889,37526,37238,37247,"3,4961"
"Óleo
Diesel A",PPI (RS/L),"3,5370","3,5370","3,7335","3,6921",35536,"3,6216"
"Óleo
Diesel A",Defasagem [RSI),"0,0790","0,0519","0,019","0,031","0,171",011255
"Óleo
Diesel A",% Defasado,2%,1%,1%,,,
Gasolina A,,29003,29176,30308,9909,9958,29190
Gasolina A,PPI (RS/L),28769,28769,"3,0639",,28936,29615
Gasolina A,Defasagem (RS/L),"0,0234","0,0407",033,"0,0316",1022,"0,0425"
Gasolina A,% Defasado,,,,,,-1%
"Abicom IStoneX
FDefasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu (Acelen)
Defasagem Média nos Principais Polos, considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*","Abicom IStoneX
FDefasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu (Acelen)
Defasagem Média nos Principais Polos, considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*","Abicom IStoneX
FDefasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu (Acelen)
Defasagem Média nos Principais Polos, considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*","Abicom IStoneX
FDefasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu (Acelen)
Defasagem Média nos Principais Polos, considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*","Abicom IStoneX
FDefasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu (Acelen)
Defasagem Média nos Principais Polos, considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*","Abicom IStoneX
FDefasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu (Acelen)
Defasagem Média nos Principais Polos, considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*","Abicom IStoneX
FDefasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu (Acelen)
Defasagem Média nos Principais Polos, considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*","Abicom IStoneX
FDefasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu (Acelen)
Defasagem Média nos Principais Polos, considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*"
"Média[RsI
25/03/25
Média (%]
Mínima (RSL
Óleo DieselA
0,17
0,07","Média[RsI
25/03/25
Média (%]
Mínima (RSL
Óleo DieselA
0,17
0,07","Média[RsI
25/03/25
Média (%]
Mínima (RSL
Óleo DieselA
0,17
0,07","Média[RsI
25/03/25
Média (%]
Mínima (RSL
Óleo DieselA
0,17
0,07","Média[RsI
25/03/25
Média (%]
Mínima (RSL
Óleo DieselA
0,17
0,07","Média[RsI
25/03/25
Média (%]
Mínima (RSL
Óleo DieselA
0,17
0,07","Média[RsI
25/03/25
Média (%]
Mínima (RSL
Óleo DieselA
0,17
0,07","Média[RsI
25/03/25
Média (%]
Mínima (RSL
Óleo DieselA
0,17
0,07"
"Gasolina
0,02
0.03
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**","Gasolina
0,02
0.03
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**","Gasolina
0,02
0.03
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**","Gasolina
0,02
0.03
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**","Gasolina
0,02
0.03
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**","Gasolina
0,02
0.03
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**","Gasolina
0,02
0.03
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**","Gasolina
0,02
0.03
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**"
"25/03/25
Média
Máxima (RSIL)","25/03/25
Média
Máxima (RSIL)","25/03/25
Média
Máxima (RSIL)","25/03/25
Média
Máxima (RSIL)","25/03/25
Média
Máxima (RSIL)","25/03/25
Média
Máxima (RSIL)","25/03/25
Média
Máxima (RSIL)","25/03/25
Média
Máxima (RSIL)"
"Óleo Diesel A
0,04
0,17
ENERGIA
ABICOM
PPI
Gasolina
01
-0,04","Óleo Diesel A
0,04
0,17
ENERGIA
ABICOM
PPI
Gasolina
01
-0,04","Óleo Diesel A
0,04
0,17
ENERGIA
ABICOM
PPI
Gasolina
01
-0,04","Óleo Diesel A
0,04
0,17
ENERGIA
ABICOM
PPI
Gasolina
01
-0,04","Óleo Diesel A
0,04
0,17
ENERGIA
ABICOM
PPI
Gasolina
01
-0,04","Óleo Diesel A
0,04
0,17
ENERGIA
ABICOM
PPI
Gasolina
01
-0,04","Óleo Diesel A
0,04
0,17
ENERGIA
ABICOM
PPI
Gasolina
01
-0,04","Óleo Diesel A
0,04
0,17
ENERGIA
ABICOM
PPI
Gasolina
01
-0,04"
