0,1,2,3,4,5,6,7
"ACOMPANHAMENTO DIÁRIO
07/03/25","ACOMPANHAMENTO DIÁRIO
07/03/25",PETROBRAS,PETROBRAS,PETROBRAS,PETROBRAS,PETROBRAS,ACELEN
"ACOMPANHAMENTO DIÁRIO
07/03/25","ACOMPANHAMENTO DIÁRIO
07/03/25",Itaqui,Suape,Paulínia,Araucária,Itacoatiara,Aratu
Óleo Diesel A,,"3,6160","3,5889","3,7526","3,7238","3,7247","3,7141"
Óleo Diesel A,,34704,"3,4704","3,6517","3,6103",34870,"3,5550"
Óleo Diesel A,Defasagem (RS[L),"0,1456","0,1185","0,1009","0,1135",23,"0,1591"
Óleo Diesel A,% Defasado,4%,3%,3%,3%,,4%
Gasolina A,,"2,9003","2,9176","3,0308",9909,9958,"3,0887"
Gasolina A,,"2,7418",27418,29232,8818,"2,7585",28265
Gasolina A,Defasagem (RS/L),"0,1585","0,1758","0,1076","0,1091","0,2373","0,2622"
Gasolina A,% Defasado,,,49,,,89
"Abicom IStoneX
Defasagem Média Petrobras considera os 5 polos Petrobras
não inclui Aratu (Acelen)
Defasagem Média nos Principais Polos, considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
07/03/25
Média
Máxima (RSIL)
Mínima (RSL)
Óeo DieseA
49
024
Gasolina A
5%
0,16
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
Média
Média (RSL
07/03/25
Óleo
Diesel A
0,15
0,24
0,10
4%
ENERGIA
ABICOM
0,26
Gasolina","Abicom IStoneX
Defasagem Média Petrobras considera os 5 polos Petrobras
não inclui Aratu (Acelen)
Defasagem Média nos Principais Polos, considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
07/03/25
Média
Máxima (RSIL)
Mínima (RSL)
Óeo DieseA
49
024
Gasolina A
5%
0,16
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
Média
Média (RSL
07/03/25
Óleo
Diesel A
0,15
0,24
0,10
4%
ENERGIA
ABICOM
0,26
Gasolina","Abicom IStoneX
Defasagem Média Petrobras considera os 5 polos Petrobras
não inclui Aratu (Acelen)
Defasagem Média nos Principais Polos, considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
07/03/25
Média
Máxima (RSIL)
Mínima (RSL)
Óeo DieseA
49
024
Gasolina A
5%
0,16
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
Média
Média (RSL
07/03/25
Óleo
Diesel A
0,15
0,24
0,10
4%
ENERGIA
ABICOM
0,26
Gasolina","Abicom IStoneX
Defasagem Média Petrobras considera os 5 polos Petrobras
não inclui Aratu (Acelen)
Defasagem Média nos Principais Polos, considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
07/03/25
Média
Máxima (RSIL)
Mínima (RSL)
Óeo DieseA
49
024
Gasolina A
5%
0,16
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
Média
Média (RSL
07/03/25
Óleo
Diesel A
0,15
0,24
0,10
4%
ENERGIA
ABICOM
0,26
Gasolina","Abicom IStoneX
Defasagem Média Petrobras considera os 5 polos Petrobras
não inclui Aratu (Acelen)
Defasagem Média nos Principais Polos, considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
07/03/25
Média
Máxima (RSIL)
Mínima (RSL)
Óeo DieseA
49
024
Gasolina A
5%
0,16
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
Média
Média (RSL
07/03/25
Óleo
Diesel A
0,15
0,24
0,10
4%
ENERGIA
ABICOM
0,26
Gasolina","Abicom IStoneX
Defasagem Média Petrobras considera os 5 polos Petrobras
não inclui Aratu (Acelen)
Defasagem Média nos Principais Polos, considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
07/03/25
Média
Máxima (RSIL)
Mínima (RSL)
Óeo DieseA
49
024
Gasolina A
5%
0,16
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
Média
Média (RSL
07/03/25
Óleo
Diesel A
0,15
0,24
0,10
4%
ENERGIA
ABICOM
0,26
Gasolina","Abicom IStoneX
Defasagem Média Petrobras considera os 5 polos Petrobras
não inclui Aratu (Acelen)
Defasagem Média nos Principais Polos, considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
07/03/25
Média
Máxima (RSIL)
Mínima (RSL)
Óeo DieseA
49
024
Gasolina A
5%
0,16
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
Média
Média (RSL
07/03/25
Óleo
Diesel A
0,15
0,24
0,10
4%
ENERGIA
ABICOM
0,26
Gasolina","Abicom IStoneX
Defasagem Média Petrobras considera os 5 polos Petrobras
não inclui Aratu (Acelen)
Defasagem Média nos Principais Polos, considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
07/03/25
Média
Máxima (RSIL)
Mínima (RSL)
Óeo DieseA
49
024
Gasolina A
5%
0,16
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
Média
Média (RSL
07/03/25
Óleo
Diesel A
0,15
0,24
0,10
4%
ENERGIA
ABICOM
0,26
Gasolina"
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*,DEFASAGEM MÉDIA NOS POLOS PETROBRAS*,DEFASAGEM MÉDIA NOS POLOS PETROBRAS*,DEFASAGEM MÉDIA NOS POLOS PETROBRAS*,DEFASAGEM MÉDIA NOS POLOS PETROBRAS*,"Abicom IStoneX
Defasagem Média Petrobras considera os 5 polos Petrobras
não inclui Aratu (Acelen)
Defasagem Média nos Principais Polos, considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
07/03/25
Média
Máxima (RSIL)
Mínima (RSL)
Óeo DieseA
49
024
Gasolina A
5%
0,16
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
Média
Média (RSL
07/03/25
Óleo
Diesel A
0,15
0,24
0,10
4%
ENERGIA
ABICOM
0,26
Gasolina","Abicom IStoneX
Defasagem Média Petrobras considera os 5 polos Petrobras
não inclui Aratu (Acelen)
Defasagem Média nos Principais Polos, considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
07/03/25
Média
Máxima (RSIL)
Mínima (RSL)
Óeo DieseA
49
024
Gasolina A
5%
0,16
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
Média
Média (RSL
07/03/25
Óleo
Diesel A
0,15
0,24
0,10
4%
ENERGIA
ABICOM
0,26
Gasolina","Abicom IStoneX
Defasagem Média Petrobras considera os 5 polos Petrobras
não inclui Aratu (Acelen)
Defasagem Média nos Principais Polos, considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
07/03/25
Média
Máxima (RSIL)
Mínima (RSL)
Óeo DieseA
49
024
Gasolina A
5%
0,16
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
Média
Média (RSL
07/03/25
Óleo
Diesel A
0,15
0,24
0,10
4%
ENERGIA
ABICOM
0,26
Gasolina"
07/03/25,Média,,Máxima (RSIL),Mínima (RSL),"Abicom IStoneX
Defasagem Média Petrobras considera os 5 polos Petrobras
não inclui Aratu (Acelen)
Defasagem Média nos Principais Polos, considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
07/03/25
Média
Máxima (RSIL)
Mínima (RSL)
Óeo DieseA
49
024
Gasolina A
5%
0,16
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
Média
Média (RSL
07/03/25
Óleo
Diesel A
0,15
0,24
0,10
4%
ENERGIA
ABICOM
0,26
Gasolina","Abicom IStoneX
Defasagem Média Petrobras considera os 5 polos Petrobras
não inclui Aratu (Acelen)
Defasagem Média nos Principais Polos, considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
07/03/25
Média
Máxima (RSIL)
Mínima (RSL)
Óeo DieseA
49
024
Gasolina A
5%
0,16
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
Média
Média (RSL
07/03/25
Óleo
Diesel A
0,15
0,24
0,10
4%
ENERGIA
ABICOM
0,26
Gasolina","Abicom IStoneX
Defasagem Média Petrobras considera os 5 polos Petrobras
não inclui Aratu (Acelen)
Defasagem Média nos Principais Polos, considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
07/03/25
Média
Máxima (RSIL)
Mínima (RSL)
Óeo DieseA
49
024
Gasolina A
5%
0,16
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
Média
Média (RSL
07/03/25
Óleo
Diesel A
0,15
0,24
0,10
4%
ENERGIA
ABICOM
0,26
Gasolina"
