0,1,2,3,4,5,6,7
"ACOMPANHAMENTO DIÁRIO
12/03/25","ACOMPANHAMENTO DIÁRIO
12/03/25",PETROBRAS,PETROBRAS,PETROBRAS,PETROBRAS,PETROBRAS,ACELEN
"ACOMPANHAMENTO DIÁRIO
12/03/25","ACOMPANHAMENTO DIÁRIO
12/03/25",Itaqui,Suape,Paulínia _,Araucária,Itacoatiara,Aratu
Óleo Diesel A,,"3,6160","3,5889","3,7526","3,7238","3,7247","3,7141"
Óleo Diesel A,,"3,4782","3,4782","3,6572","3,6158","3,4949","3,5629"
Óleo Diesel A,Defasagem (RS[L),"0,1378","0,1107",0954,"0,1080",2298,"0,1512"
Óleo Diesel A,% Defasado,4%,3%,3%,,,4%
Gasolina A,,"2,9003","2,9176","3,0308",9909,9958,"3,0887"
Gasolina A,,"2,7893",27893,29683,29269,"2,8060",28740
Gasolina A,Defasagem (RS/L),"0,1110","0,1283",0625,0640,"0,1898","0,2147"
Gasolina A,% Defasado,49,49,,,,
