0,1,2,3,4,5,6,7
"ACOMPANHAMENTO DIÁRIO
06/03 /25","ACOMPANHAMENTO DIÁRIO
06/03 /25",PETROBRAS,PETROBRAS,PETROBRAS,PETROBRAS,PETROBRAS,ACELEN
"ACOMPANHAMENTO DIÁRIO
06/03 /25","ACOMPANHAMENTO DIÁRIO
06/03 /25",Itaqui,Suape,Paulínia,Araucária,Itacoatiara,Aratu
Óleo Diesel A,,36160,35889,37526,37238,37247,37141
Óleo Diesel A,PPI (RS/L),"3,5405","3,5405","3,7223","3,6809","3,5572","3,6251"
Óleo Diesel A,,00755,"0,0484","0,0303",042,"0,1675",089
Óleo Diesel A,% Defasado,2%,1%,1%,,,2%
Gasolina A,Preço,"2,9003",29176,"3,0308",9909,,"3,088"
Gasolina A,PPI (RS/L),28170,28170,"2,9989",29575,2833,"2,901"
Gasolina A,Defasagem (RS/L),"0,0833","0,1006",03,0334,1621,"0,1870"
Gasolina A,% Defasado,39,3%,,,,6%
"Abicom IStoneX
'Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu (Acelen)
Defasagem Média nos Principais Polos, considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*","Abicom IStoneX
'Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu (Acelen)
Defasagem Média nos Principais Polos, considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*","Abicom IStoneX
'Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu (Acelen)
Defasagem Média nos Principais Polos, considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*","Abicom IStoneX
'Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu (Acelen)
Defasagem Média nos Principais Polos, considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*","Abicom IStoneX
'Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu (Acelen)
Defasagem Média nos Principais Polos, considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*","Abicom IStoneX
'Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu (Acelen)
Defasagem Média nos Principais Polos, considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*","Abicom IStoneX
'Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu (Acelen)
Defasagem Média nos Principais Polos, considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*","Abicom IStoneX
'Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu (Acelen)
Defasagem Média nos Principais Polos, considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*"
"Média
Mínima (RSIL
06/03/25
Óleo DieselA
0,17
0,07
03
Gasolina A
08
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**","Média
Mínima (RSIL
06/03/25
Óleo DieselA
0,17
0,07
03
Gasolina A
08
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**","Média
Mínima (RSIL
06/03/25
Óleo DieselA
0,17
0,07
03
Gasolina A
08
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**","Média
Mínima (RSIL
06/03/25
Óleo DieselA
0,17
0,07
03
Gasolina A
08
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**","Média
Mínima (RSIL
06/03/25
Óleo DieselA
0,17
0,07
03
Gasolina A
08
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**","Média
Mínima (RSIL
06/03/25
Óleo DieselA
0,17
0,07
03
Gasolina A
08
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**","Média
Mínima (RSIL
06/03/25
Óleo DieselA
0,17
0,07
03
Gasolina A
08
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**","Média
Mínima (RSIL
06/03/25
Óleo DieselA
0,17
0,07
03
Gasolina A
08
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**"
"06/03/25
Média (%)
Máxima (RSIL)
Mínima (RSL)","06/03/25
Média (%)
Máxima (RSIL)
Mínima (RSL)","06/03/25
Média (%)
Máxima (RSIL)
Mínima (RSL)","06/03/25
Média (%)
Máxima (RSIL)
Mínima (RSL)","06/03/25
Média (%)
Máxima (RSIL)
Mínima (RSL)","06/03/25
Média (%)
Máxima (RSIL)
Mínima (RSL)","06/03/25
Média (%)
Máxima (RSIL)
Mínima (RSL)","06/03/25
Média (%)
Máxima (RSIL)
Mínima (RSL)"
"Óleo Diesel A
0,17
0,08
0,03
ENERGIA
ABICOM
PPI
0,19
0,03
Gasolina
39
0,10","Óleo Diesel A
0,17
0,08
0,03
ENERGIA
ABICOM
PPI
0,19
0,03
Gasolina
39
0,10","Óleo Diesel A
0,17
0,08
0,03
ENERGIA
ABICOM
PPI
0,19
0,03
Gasolina
39
0,10","Óleo Diesel A
0,17
0,08
0,03
ENERGIA
ABICOM
PPI
0,19
0,03
Gasolina
39
0,10","Óleo Diesel A
0,17
0,08
0,03
ENERGIA
ABICOM
PPI
0,19
0,03
Gasolina
39
0,10","Óleo Diesel A
0,17
0,08
0,03
ENERGIA
ABICOM
PPI
0,19
0,03
Gasolina
39
0,10","Óleo Diesel A
0,17
0,08
0,03
ENERGIA
ABICOM
PPI
0,19
0,03
Gasolina
39
0,10","Óleo Diesel A
0,17
0,08
0,03
ENERGIA
ABICOM
PPI
0,19
0,03
Gasolina
39
0,10"
