0,1,2,3,4,5,6,7
"ACOMPANHAMENTO DIÁRIO
27/03/25","ACOMPANHAMENTO DIÁRIO
27/03/25",PETROBRAS,PETROBRAS,PETROBRAS,PETROBRAS,PETROBRAS,ACELEN
"ACOMPANHAMENTO DIÁRIO
27/03/25","ACOMPANHAMENTO DIÁRIO
27/03/25",Itaqui_,Suape_,Paulínia _,Araucária,Itacoatiara,Aratu
Óleo Diesel A,,"3,6160","3,5889","3,7526","3,7238",37247,"3,4961"
Óleo Diesel A,PPRSI,"3,5790","3,5790",37754,"3,7340","3,5951",26636
Óleo Diesel A,Defasagem [RS[L),"0,0370","0,0099","0,0228",,"0,1290","-0,1675"
Óleo Diesel A,% Defasado,1%,,-1%,,,5%
Gasolina A,,"2,9003",29176,"3,0308","2,9909",9958,"3,0432"
Gasolina A,PPRSI,29119,29119,"3,0988",30574,29286,29965
Gasolina A,Defasagem (RS/L),"-0,0116","0,0057",0680,,0672,"0,0467"
Gasolina A,% Defasado,,,,,,
"Abicom IStoneX
'Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu (Acelen)
~Defasagem Média nos Principais Polos; considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*","Abicom IStoneX
'Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu (Acelen)
~Defasagem Média nos Principais Polos; considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*","Abicom IStoneX
'Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu (Acelen)
~Defasagem Média nos Principais Polos; considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*","Abicom IStoneX
'Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu (Acelen)
~Defasagem Média nos Principais Polos; considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*","Abicom IStoneX
'Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu (Acelen)
~Defasagem Média nos Principais Polos; considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*","Abicom IStoneX
'Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu (Acelen)
~Defasagem Média nos Principais Polos; considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*","Abicom IStoneX
'Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu (Acelen)
~Defasagem Média nos Principais Polos; considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*","Abicom IStoneX
'Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu (Acelen)
~Defasagem Média nos Principais Polos; considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*"
"Máxima RSIL
27/03/25
Média (%)
Mínima (RSIL)
Óeo DieseA
0.03
0.02","Máxima RSIL
27/03/25
Média (%)
Mínima (RSIL)
Óeo DieseA
0.03
0.02","Máxima RSIL
27/03/25
Média (%)
Mínima (RSIL)
Óeo DieseA
0.03
0.02","Máxima RSIL
27/03/25
Média (%)
Mínima (RSIL)
Óeo DieseA
0.03
0.02","Máxima RSIL
27/03/25
Média (%)
Mínima (RSIL)
Óeo DieseA
0.03
0.02","Máxima RSIL
27/03/25
Média (%)
Mínima (RSIL)
Óeo DieseA
0.03
0.02","Máxima RSIL
27/03/25
Média (%)
Mínima (RSIL)
Óeo DieseA
0.03
0.02","Máxima RSIL
27/03/25
Média (%)
Mínima (RSIL)
Óeo DieseA
0.03
0.02"
"0,01
Gasolina
0,0
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**","0,01
Gasolina
0,0
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**","0,01
Gasolina
0,0
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**","0,01
Gasolina
0,0
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**","0,01
Gasolina
0,0
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**","0,01
Gasolina
0,0
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**","0,01
Gasolina
0,0
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**","0,01
Gasolina
0,0
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**"
"MédiaRsI
27/03/25
Máxima (RSL","MédiaRsI
27/03/25
Máxima (RSL","MédiaRsI
27/03/25
Máxima (RSL","MédiaRsI
27/03/25
Máxima (RSL","MédiaRsI
27/03/25
Máxima (RSL","MédiaRsI
27/03/25
Máxima (RSL","MédiaRsI
27/03/25
Máxima (RSL","MédiaRsI
27/03/25
Máxima (RSL"
"Óleo Diesel A
0,00
-0,17
0,13
0%
ENERGIA
ABICOM
PPI
0,07
Gasolina","Óleo Diesel A
0,00
-0,17
0,13
0%
ENERGIA
ABICOM
PPI
0,07
Gasolina","Óleo Diesel A
0,00
-0,17
0,13
0%
ENERGIA
ABICOM
PPI
0,07
Gasolina","Óleo Diesel A
0,00
-0,17
0,13
0%
ENERGIA
ABICOM
PPI
0,07
Gasolina","Óleo Diesel A
0,00
-0,17
0,13
0%
ENERGIA
ABICOM
PPI
0,07
Gasolina","Óleo Diesel A
0,00
-0,17
0,13
0%
ENERGIA
ABICOM
PPI
0,07
Gasolina","Óleo Diesel A
0,00
-0,17
0,13
0%
ENERGIA
ABICOM
PPI
0,07
Gasolina","Óleo Diesel A
0,00
-0,17
0,13
0%
ENERGIA
ABICOM
PPI
0,07
Gasolina"
