0,1,2,3,4,5,6,7
"ACOMPANHAMENTO DIÁRIO
26/03/25","ACOMPANHAMENTO DIÁRIO
26/03/25",PETROBRAS _,PETROBRAS _,PETROBRAS _,PETROBRAS _,PETROBRAS _,ACELEN
"ACOMPANHAMENTO DIÁRIO
26/03/25","ACOMPANHAMENTO DIÁRIO
26/03/25",Itaqui,Suape _,Paulínia _,Araucária,Itacoatiara,Aratu
"Óleo
Diesel A",,"3,6160","3,5889",37526,"3,7238",37247,"3,4961"
"Óleo
Diesel A",PPIRSI,35538,"3,5538",31475,37061,"3,5705","3,6385"
"Óleo
Diesel A",,"0,0622","0,0351","0,0051","0,0177","0,1542","-0,1424"
"Óleo
Diesel A",% Defasado,2%,1%,0%,,4%,
Gasolina A,Preco [RSIL),29003,29176,"3,0308",229909,29958,29190
Gasolina A,PPIRSI,28617,28617,30462,30048,28784,29463
Gasolina A,Defasagem (RS/L),"0,0386","0,0559","0,0154","0,0139",0.1174,"0,0273"
Gasolina A,% Defasado,19,,,,49,
