0,1,2,3,4,5,6,7
"ACOMPANHAMENTO DIÁRIO
20/03/25","ACOMPANHAMENTO DIÁRIO
20/03/25",PETROBRAS,PETROBRAS,PETROBRAS,PETROBRAS,PETROBRAS,ACELEN
"ACOMPANHAMENTO DIÁRIO
20/03/25","ACOMPANHAMENTO DIÁRIO
20/03/25",Itaqui_,Suape,Paulínia,Araucária,Itacoatiara,Aratu
Óleo Diesel A,,"3,6160","3,5889",37526,27238,37247,"3,4961"
Óleo Diesel A,PPIRSI,"3,4581","3,4581","3,6535","3,6121",,"3,5427"
Óleo Diesel A,,"0,1579","0,1308","0,099","0,1117","0,2500","-0,0466"
Óleo Diesel A,% Defasado,,4%,3%,3%,,-1%
Gasolina A,,29003,29176,"3,0308",29909,29958,"2,9190"
Gasolina A,PPRSIL,27845,27845,9706,"2,9292",28012,28692
Gasolina A,Defasagem (RS/L),"0,1158","0,1331",060,"0,061",1946,"0,0498"
Gasolina A,% Defasado,,59,,,69,29
"Abicom IStoneX
'Defasagem Média Petrobras considera os 5 polos Petrobras
não inclui Aratu (Acelen)
Defasagem Média nos Principais Polos considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*","Abicom IStoneX
'Defasagem Média Petrobras considera os 5 polos Petrobras
não inclui Aratu (Acelen)
Defasagem Média nos Principais Polos considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*","Abicom IStoneX
'Defasagem Média Petrobras considera os 5 polos Petrobras
não inclui Aratu (Acelen)
Defasagem Média nos Principais Polos considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*","Abicom IStoneX
'Defasagem Média Petrobras considera os 5 polos Petrobras
não inclui Aratu (Acelen)
Defasagem Média nos Principais Polos considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*","Abicom IStoneX
'Defasagem Média Petrobras considera os 5 polos Petrobras
não inclui Aratu (Acelen)
Defasagem Média nos Principais Polos considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*","Abicom IStoneX
'Defasagem Média Petrobras considera os 5 polos Petrobras
não inclui Aratu (Acelen)
Defasagem Média nos Principais Polos considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*","Abicom IStoneX
'Defasagem Média Petrobras considera os 5 polos Petrobras
não inclui Aratu (Acelen)
Defasagem Média nos Principais Polos considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*","Abicom IStoneX
'Defasagem Média Petrobras considera os 5 polos Petrobras
não inclui Aratu (Acelen)
Defasagem Média nos Principais Polos considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*"
"20/03/25
Média (%]
Óleo DieselA
0,15
0,25
0,10
0,19
Gasolina A
011
06
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**","20/03/25
Média (%]
Óleo DieselA
0,15
0,25
0,10
0,19
Gasolina A
011
06
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**","20/03/25
Média (%]
Óleo DieselA
0,15
0,25
0,10
0,19
Gasolina A
011
06
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**","20/03/25
Média (%]
Óleo DieselA
0,15
0,25
0,10
0,19
Gasolina A
011
06
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**","20/03/25
Média (%]
Óleo DieselA
0,15
0,25
0,10
0,19
Gasolina A
011
06
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**","20/03/25
Média (%]
Óleo DieselA
0,15
0,25
0,10
0,19
Gasolina A
011
06
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**","20/03/25
Média (%]
Óleo DieselA
0,15
0,25
0,10
0,19
Gasolina A
011
06
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**","20/03/25
Média (%]
Óleo DieselA
0,15
0,25
0,10
0,19
Gasolina A
011
06
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**"
"MédiaRsI
Máxima[RsI
20/03/25","MédiaRsI
Máxima[RsI
20/03/25","MédiaRsI
Máxima[RsI
20/03/25","MédiaRsI
Máxima[RsI
20/03/25","MédiaRsI
Máxima[RsI
20/03/25","MédiaRsI
Máxima[RsI
20/03/25","MédiaRsI
Máxima[RsI
20/03/25","MédiaRsI
Máxima[RsI
20/03/25"
"Óleo Diesel A
3%
0,12
0,25
-0,05
ENERGIA
ABICOM
PPI
0.05
0,19
Gasolina
0,10","Óleo Diesel A
3%
0,12
0,25
-0,05
ENERGIA
ABICOM
PPI
0.05
0,19
Gasolina
0,10","Óleo Diesel A
3%
0,12
0,25
-0,05
ENERGIA
ABICOM
PPI
0.05
0,19
Gasolina
0,10","Óleo Diesel A
3%
0,12
0,25
-0,05
ENERGIA
ABICOM
PPI
0.05
0,19
Gasolina
0,10","Óleo Diesel A
3%
0,12
0,25
-0,05
ENERGIA
ABICOM
PPI
0.05
0,19
Gasolina
0,10","Óleo Diesel A
3%
0,12
0,25
-0,05
ENERGIA
ABICOM
PPI
0.05
0,19
Gasolina
0,10","Óleo Diesel A
3%
0,12
0,25
-0,05
ENERGIA
ABICOM
PPI
0.05
0,19
Gasolina
0,10","Óleo Diesel A
3%
0,12
0,25
-0,05
ENERGIA
ABICOM
PPI
0.05
0,19
Gasolina
0,10"
