0,1,2,3,4,5,6,7
"ACOMPANHAMENTO DIÁRIO
19/03/25","ACOMPANHAMENTO DIÁRIO
19/03/25",PETROBRAS,PETROBRAS,PETROBRAS,PETROBRAS,PETROBRAS,ACELEN
"ACOMPANHAMENTO DIÁRIO
19/03/25","ACOMPANHAMENTO DIÁRIO
19/03/25",Itaqui,Suape,Paulínia,Araucária,Itacoatiara,Aratu
lóleo Diesel A,,"3,6160",35889,37526,37238,37247,36451
lóleo Diesel A,PPI (RSIL),"3,3950","3,3950","3,5770","3,5356","3,4117","3,4796"
lóleo Diesel A,,"0,2210","0,1939","0,1756","0,188","0,3130","0,1655"
lóleo Diesel A,% Defasado,6%,5%,5%,5%,,5%
Gasolina A,,29003,29176,30308,9909,9958,
Gasolina A,PPI (RSIL),28019,28019,29761,29347,28186,28866
Gasolina A,Defasagem (RS/L),"0,0984","0,1157","0,054",0562,1772,"0,0141"
Gasolina A,% Defasado,39,49,,,,
