0,1,2,3,4,5,6,7
"ACOMPANHAMENTO DIÁRIO
05/03/25","ACOMPANHAMENTO DIÁRIO
05/03/25",PETROBRAS,PETROBRAS,PETROBRAS,PETROBRAS,PETROBRAS,ACELEN
"ACOMPANHAMENTO DIÁRIO
05/03/25","ACOMPANHAMENTO DIÁRIO
05/03/25",Itaqui,Suape,Paulínia,Araucária,Itacoatiara,Aratu
lóleo Diesel A,,"3,6160",25889,37526,37238,37247,37365
lóleo Diesel A,PPI (RS/L),"3,6343","3,6343",38182,"3,7768","3,6510","3,7189"
lóleo Diesel A,,"0,0183","-0,0454",00656,"-0,0530",073-,"0,0176"
lóleo Diesel A,% Defasado,,-1%,-2%,1%,,
Gasolina A,,29003,29176,,29909,29958,3088
Gasolina A,PPI (RS/L),29327,29327,"3,1166","3,0752",29494,"3,0173"
Gasolina A,Defasagem (RS/L),"0,0324","-0,0151",0858,0843,"0,0464","0,0714"
Gasolina A,% Defasado,,,3%,,,
"Abicom IStoneX
Defasagem Média Petrobras considera os 5 polos Petrobras
não inclui Aratu (Acelen)
Defasagem Média nos Principais Polos; considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*","Abicom IStoneX
Defasagem Média Petrobras considera os 5 polos Petrobras
não inclui Aratu (Acelen)
Defasagem Média nos Principais Polos; considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*","Abicom IStoneX
Defasagem Média Petrobras considera os 5 polos Petrobras
não inclui Aratu (Acelen)
Defasagem Média nos Principais Polos; considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*","Abicom IStoneX
Defasagem Média Petrobras considera os 5 polos Petrobras
não inclui Aratu (Acelen)
Defasagem Média nos Principais Polos; considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*","Abicom IStoneX
Defasagem Média Petrobras considera os 5 polos Petrobras
não inclui Aratu (Acelen)
Defasagem Média nos Principais Polos; considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*","Abicom IStoneX
Defasagem Média Petrobras considera os 5 polos Petrobras
não inclui Aratu (Acelen)
Defasagem Média nos Principais Polos; considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*","Abicom IStoneX
Defasagem Média Petrobras considera os 5 polos Petrobras
não inclui Aratu (Acelen)
Defasagem Média nos Principais Polos; considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*","Abicom IStoneX
Defasagem Média Petrobras considera os 5 polos Petrobras
não inclui Aratu (Acelen)
Defasagem Média nos Principais Polos; considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*"
"Média RsI
05/03/25
Mínima (RSL
Média (%)
Óleo DieselA
0,02
-0,0
0,0","Média RsI
05/03/25
Mínima (RSL
Média (%)
Óleo DieselA
0,02
-0,0
0,0","Média RsI
05/03/25
Mínima (RSL
Média (%)
Óleo DieselA
0,02
-0,0
0,0","Média RsI
05/03/25
Mínima (RSL
Média (%)
Óleo DieselA
0,02
-0,0
0,0","Média RsI
05/03/25
Mínima (RSL
Média (%)
Óleo DieselA
0,02
-0,0
0,0","Média RsI
05/03/25
Mínima (RSL
Média (%)
Óleo DieselA
0,02
-0,0
0,0","Média RsI
05/03/25
Mínima (RSL
Média (%)
Óleo DieselA
0,02
-0,0
0,0","Média RsI
05/03/25
Mínima (RSL
Média (%)
Óleo DieselA
0,02
-0,0
0,0"
"0,.03
05
Gasolina A
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**","0,.03
05
Gasolina A
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**","0,.03
05
Gasolina A
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**","0,.03
05
Gasolina A
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**","0,.03
05
Gasolina A
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**","0,.03
05
Gasolina A
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**","0,.03
05
Gasolina A
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**","0,.03
05
Gasolina A
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**"
"05/03/25
Média (%)","05/03/25
Média (%)","05/03/25
Média (%)","05/03/25
Média (%)","05/03/25
Média (%)","05/03/25
Média (%)","05/03/25
Média (%)","05/03/25
Média (%)"
"Óleo Diesel A
0,02
0,07
ENERGIA
ABICOM
PPI
Gasolina A
0,.02
-0,09
0,07","Óleo Diesel A
0,02
0,07
ENERGIA
ABICOM
PPI
Gasolina A
0,.02
-0,09
0,07","Óleo Diesel A
0,02
0,07
ENERGIA
ABICOM
PPI
Gasolina A
0,.02
-0,09
0,07","Óleo Diesel A
0,02
0,07
ENERGIA
ABICOM
PPI
Gasolina A
0,.02
-0,09
0,07","Óleo Diesel A
0,02
0,07
ENERGIA
ABICOM
PPI
Gasolina A
0,.02
-0,09
0,07","Óleo Diesel A
0,02
0,07
ENERGIA
ABICOM
PPI
Gasolina A
0,.02
-0,09
0,07","Óleo Diesel A
0,02
0,07
ENERGIA
ABICOM
PPI
Gasolina A
0,.02
-0,09
0,07","Óleo Diesel A
0,02
0,07
ENERGIA
ABICOM
PPI
Gasolina A
0,.02
-0,09
0,07"
