0,1,2,3,4,5,6,7
"ACOMPANHAMENTO DIÁRIO
13/03/25","ACOMPANHAMENTO DIÁRIO
13/03/25",PETROBRAS,PETROBRAS,PETROBRAS,PETROBRAS,PETROBRAS,ACELEN
"ACOMPANHAMENTO DIÁRIO
13/03/25","ACOMPANHAMENTO DIÁRIO
13/03/25",Itaqui,Suape,Paulínia _,Araucária,Itacoatiara,Aratu
Óleo Diesel A,,"3,6160","3,5889","3,7526","3,7238","3,7247","3,6451"
Óleo Diesel A,,"3,4880","3,4880",36664,"3,6250","3,504",35727
Óleo Diesel A,,"0,1280","0,1009",,0988,,"0,0724"
Óleo Diesel A,% Defasado,4%,3%,2%,,,2%
Gasolina A,,"2,9003","2,9176","3,0308",9909,9958,29007
Gasolina A,,28550,28550,30334,"2,9920",28717,29397
Gasolina A,Defasagem (RS/L),"0,0453","0,0626",0026,"0,0011","0,1241","0,0390"
Gasolina A,% Defasado,,,,,,
"Abicom IStoneX
Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu
Acelen)
polos acima
""Defasagem Média nos Principais Polos, considerando os
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média RSI
13/03/25
Média (%)
Óleo DieselA
013
0,22
39
09
0,12
Gasolina A
0,.05
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS* *
13/03/25
Mínima (RSD
Óleo Diesel A
0,12
0,22
0,07
3%
ENERGIA
ABICOM - PPI
Gasolina A
012
0.03","Abicom IStoneX
Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu
Acelen)
polos acima
""Defasagem Média nos Principais Polos, considerando os
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média RSI
13/03/25
Média (%)
Óleo DieselA
013
0,22
39
09
0,12
Gasolina A
0,.05
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS* *
13/03/25
Mínima (RSD
Óleo Diesel A
0,12
0,22
0,07
3%
ENERGIA
ABICOM - PPI
Gasolina A
012
0.03","Abicom IStoneX
Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu
Acelen)
polos acima
""Defasagem Média nos Principais Polos, considerando os
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média RSI
13/03/25
Média (%)
Óleo DieselA
013
0,22
39
09
0,12
Gasolina A
0,.05
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS* *
13/03/25
Mínima (RSD
Óleo Diesel A
0,12
0,22
0,07
3%
ENERGIA
ABICOM - PPI
Gasolina A
012
0.03","Abicom IStoneX
Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu
Acelen)
polos acima
""Defasagem Média nos Principais Polos, considerando os
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média RSI
13/03/25
Média (%)
Óleo DieselA
013
0,22
39
09
0,12
Gasolina A
0,.05
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS* *
13/03/25
Mínima (RSD
Óleo Diesel A
0,12
0,22
0,07
3%
ENERGIA
ABICOM - PPI
Gasolina A
012
0.03","Abicom IStoneX
Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu
Acelen)
polos acima
""Defasagem Média nos Principais Polos, considerando os
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média RSI
13/03/25
Média (%)
Óleo DieselA
013
0,22
39
09
0,12
Gasolina A
0,.05
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS* *
13/03/25
Mínima (RSD
Óleo Diesel A
0,12
0,22
0,07
3%
ENERGIA
ABICOM - PPI
Gasolina A
012
0.03","Abicom IStoneX
Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu
Acelen)
polos acima
""Defasagem Média nos Principais Polos, considerando os
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média RSI
13/03/25
Média (%)
Óleo DieselA
013
0,22
39
09
0,12
Gasolina A
0,.05
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS* *
13/03/25
Mínima (RSD
Óleo Diesel A
0,12
0,22
0,07
3%
ENERGIA
ABICOM - PPI
Gasolina A
012
0.03","Abicom IStoneX
Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu
Acelen)
polos acima
""Defasagem Média nos Principais Polos, considerando os
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média RSI
13/03/25
Média (%)
Óleo DieselA
013
0,22
39
09
0,12
Gasolina A
0,.05
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS* *
13/03/25
Mínima (RSD
Óleo Diesel A
0,12
0,22
0,07
3%
ENERGIA
ABICOM - PPI
Gasolina A
012
0.03","Abicom IStoneX
Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu
Acelen)
polos acima
""Defasagem Média nos Principais Polos, considerando os
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média RSI
13/03/25
Média (%)
Óleo DieselA
013
0,22
39
09
0,12
Gasolina A
0,.05
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS* *
13/03/25
Mínima (RSD
Óleo Diesel A
0,12
0,22
0,07
3%
ENERGIA
ABICOM - PPI
Gasolina A
012
0.03"
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*,DEFASAGEM MÉDIA NOS POLOS PETROBRAS*,DEFASAGEM MÉDIA NOS POLOS PETROBRAS*,DEFASAGEM MÉDIA NOS POLOS PETROBRAS*,DEFASAGEM MÉDIA NOS POLOS PETROBRAS*,"Abicom IStoneX
Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu
Acelen)
polos acima
""Defasagem Média nos Principais Polos, considerando os
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média RSI
13/03/25
Média (%)
Óleo DieselA
013
0,22
39
09
0,12
Gasolina A
0,.05
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS* *
13/03/25
Mínima (RSD
Óleo Diesel A
0,12
0,22
0,07
3%
ENERGIA
ABICOM - PPI
Gasolina A
012
0.03","Abicom IStoneX
Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu
Acelen)
polos acima
""Defasagem Média nos Principais Polos, considerando os
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média RSI
13/03/25
Média (%)
Óleo DieselA
013
0,22
39
09
0,12
Gasolina A
0,.05
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS* *
13/03/25
Mínima (RSD
Óleo Diesel A
0,12
0,22
0,07
3%
ENERGIA
ABICOM - PPI
Gasolina A
012
0.03","Abicom IStoneX
Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu
Acelen)
polos acima
""Defasagem Média nos Principais Polos, considerando os
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média RSI
13/03/25
Média (%)
Óleo DieselA
013
0,22
39
09
0,12
Gasolina A
0,.05
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS* *
13/03/25
Mínima (RSD
Óleo Diesel A
0,12
0,22
0,07
3%
ENERGIA
ABICOM - PPI
Gasolina A
012
0.03"
13/03/25,Média (%),Média RSI,,,"Abicom IStoneX
Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu
Acelen)
polos acima
""Defasagem Média nos Principais Polos, considerando os
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média RSI
13/03/25
Média (%)
Óleo DieselA
013
0,22
39
09
0,12
Gasolina A
0,.05
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS* *
13/03/25
Mínima (RSD
Óleo Diesel A
0,12
0,22
0,07
3%
ENERGIA
ABICOM - PPI
Gasolina A
012
0.03","Abicom IStoneX
Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu
Acelen)
polos acima
""Defasagem Média nos Principais Polos, considerando os
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média RSI
13/03/25
Média (%)
Óleo DieselA
013
0,22
39
09
0,12
Gasolina A
0,.05
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS* *
13/03/25
Mínima (RSD
Óleo Diesel A
0,12
0,22
0,07
3%
ENERGIA
ABICOM - PPI
Gasolina A
012
0.03","Abicom IStoneX
Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu
Acelen)
polos acima
""Defasagem Média nos Principais Polos, considerando os
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média RSI
13/03/25
Média (%)
Óleo DieselA
013
0,22
39
09
0,12
Gasolina A
0,.05
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS* *
13/03/25
Mínima (RSD
Óleo Diesel A
0,12
0,22
0,07
3%
ENERGIA
ABICOM - PPI
Gasolina A
012
0.03"
Óleo DieselA,39,013,"0,22",09,"Abicom IStoneX
Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu
Acelen)
polos acima
""Defasagem Média nos Principais Polos, considerando os
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média RSI
13/03/25
Média (%)
Óleo DieselA
013
0,22
39
09
0,12
Gasolina A
0,.05
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS* *
13/03/25
Mínima (RSD
Óleo Diesel A
0,12
0,22
0,07
3%
ENERGIA
ABICOM - PPI
Gasolina A
012
0.03","Abicom IStoneX
Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu
Acelen)
polos acima
""Defasagem Média nos Principais Polos, considerando os
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média RSI
13/03/25
Média (%)
Óleo DieselA
013
0,22
39
09
0,12
Gasolina A
0,.05
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS* *
13/03/25
Mínima (RSD
Óleo Diesel A
0,12
0,22
0,07
3%
ENERGIA
ABICOM - PPI
Gasolina A
012
0.03","Abicom IStoneX
Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu
Acelen)
polos acima
""Defasagem Média nos Principais Polos, considerando os
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média RSI
13/03/25
Média (%)
Óleo DieselA
013
0,22
39
09
0,12
Gasolina A
0,.05
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS* *
13/03/25
Mínima (RSD
Óleo Diesel A
0,12
0,22
0,07
3%
ENERGIA
ABICOM - PPI
Gasolina A
012
0.03"
