0,1,2,3,4,5,6,7
"ACOMPANHAMENTO DIÁRIO
18/03/25","ACOMPANHAMENTO DIÁRIO
18/03/25",PETROBRAS,PETROBRAS,PETROBRAS,PETROBRAS,PETROBRAS,ACELEN
"ACOMPANHAMENTO DIÁRIO
18/03/25","ACOMPANHAMENTO DIÁRIO
18/03/25",Itaqui,Suape,Paulínia,Araucária,Itacoatiara,Aratu
"Óleo
Diesel A",,"3,6160","3,5889",37526,"3,7238",37247,"3,6451"
"Óleo
Diesel A",PPRSI,"3,4206","3,4206","3,6005","3,5591","3,4372",
"Óleo
Diesel A",Defasagem [RS[L),"0,1954","0,1683","0,152","0,1647","0,2875","0,1399"
"Óleo
Diesel A",Defasado,5%,5%,4%,4%,,4%
Gasolina A,,29003,29176,"3,0308",29909,29958,29007
Gasolina A,PPRSI,28342,28342,30066,"2,9652",28508,29188
Gasolina A,Defasagem (RS/L),"0,0661","0,0834",0242,0257,"0,1450","-0,0181"
Gasolina A,% Defasado,,39,,,,19
"Abicom IStoneX
'Defasagem Média Petrobras considera os 5 polos Petrobras
não inclui Aratu (Acelen)
Defasagem Média nos Principais Polos considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média (%)
Média (RSIL)
Máxima (RSIL)
Mínima (RSIL)
18/03/25
Óeo DieselA
0,29
59
0,19
0,15
014
Gasolina A
0,07
0,02
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS*+
Média[RsI
18/03/25
Mínima (RSL
Óleo
Diesel A
5%
0,18
0,29
0,14
ENERGIA
ABICOM - PPI
Gasolina A
0.05
0.02","Abicom IStoneX
'Defasagem Média Petrobras considera os 5 polos Petrobras
não inclui Aratu (Acelen)
Defasagem Média nos Principais Polos considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média (%)
Média (RSIL)
Máxima (RSIL)
Mínima (RSIL)
18/03/25
Óeo DieselA
0,29
59
0,19
0,15
014
Gasolina A
0,07
0,02
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS*+
Média[RsI
18/03/25
Mínima (RSL
Óleo
Diesel A
5%
0,18
0,29
0,14
ENERGIA
ABICOM - PPI
Gasolina A
0.05
0.02","Abicom IStoneX
'Defasagem Média Petrobras considera os 5 polos Petrobras
não inclui Aratu (Acelen)
Defasagem Média nos Principais Polos considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média (%)
Média (RSIL)
Máxima (RSIL)
Mínima (RSIL)
18/03/25
Óeo DieselA
0,29
59
0,19
0,15
014
Gasolina A
0,07
0,02
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS*+
Média[RsI
18/03/25
Mínima (RSL
Óleo
Diesel A
5%
0,18
0,29
0,14
ENERGIA
ABICOM - PPI
Gasolina A
0.05
0.02","Abicom IStoneX
'Defasagem Média Petrobras considera os 5 polos Petrobras
não inclui Aratu (Acelen)
Defasagem Média nos Principais Polos considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média (%)
Média (RSIL)
Máxima (RSIL)
Mínima (RSIL)
18/03/25
Óeo DieselA
0,29
59
0,19
0,15
014
Gasolina A
0,07
0,02
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS*+
Média[RsI
18/03/25
Mínima (RSL
Óleo
Diesel A
5%
0,18
0,29
0,14
ENERGIA
ABICOM - PPI
Gasolina A
0.05
0.02","Abicom IStoneX
'Defasagem Média Petrobras considera os 5 polos Petrobras
não inclui Aratu (Acelen)
Defasagem Média nos Principais Polos considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média (%)
Média (RSIL)
Máxima (RSIL)
Mínima (RSIL)
18/03/25
Óeo DieselA
0,29
59
0,19
0,15
014
Gasolina A
0,07
0,02
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS*+
Média[RsI
18/03/25
Mínima (RSL
Óleo
Diesel A
5%
0,18
0,29
0,14
ENERGIA
ABICOM - PPI
Gasolina A
0.05
0.02","Abicom IStoneX
'Defasagem Média Petrobras considera os 5 polos Petrobras
não inclui Aratu (Acelen)
Defasagem Média nos Principais Polos considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média (%)
Média (RSIL)
Máxima (RSIL)
Mínima (RSIL)
18/03/25
Óeo DieselA
0,29
59
0,19
0,15
014
Gasolina A
0,07
0,02
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS*+
Média[RsI
18/03/25
Mínima (RSL
Óleo
Diesel A
5%
0,18
0,29
0,14
ENERGIA
ABICOM - PPI
Gasolina A
0.05
0.02","Abicom IStoneX
'Defasagem Média Petrobras considera os 5 polos Petrobras
não inclui Aratu (Acelen)
Defasagem Média nos Principais Polos considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média (%)
Média (RSIL)
Máxima (RSIL)
Mínima (RSIL)
18/03/25
Óeo DieselA
0,29
59
0,19
0,15
014
Gasolina A
0,07
0,02
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS*+
Média[RsI
18/03/25
Mínima (RSL
Óleo
Diesel A
5%
0,18
0,29
0,14
ENERGIA
ABICOM - PPI
Gasolina A
0.05
0.02","Abicom IStoneX
'Defasagem Média Petrobras considera os 5 polos Petrobras
não inclui Aratu (Acelen)
Defasagem Média nos Principais Polos considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média (%)
Média (RSIL)
Máxima (RSIL)
Mínima (RSIL)
18/03/25
Óeo DieselA
0,29
59
0,19
0,15
014
Gasolina A
0,07
0,02
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS*+
Média[RsI
18/03/25
Mínima (RSL
Óleo
Diesel A
5%
0,18
0,29
0,14
ENERGIA
ABICOM - PPI
Gasolina A
0.05
0.02"
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*,DEFASAGEM MÉDIA NOS POLOS PETROBRAS*,DEFASAGEM MÉDIA NOS POLOS PETROBRAS*,DEFASAGEM MÉDIA NOS POLOS PETROBRAS*,DEFASAGEM MÉDIA NOS POLOS PETROBRAS*,"Abicom IStoneX
'Defasagem Média Petrobras considera os 5 polos Petrobras
não inclui Aratu (Acelen)
Defasagem Média nos Principais Polos considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média (%)
Média (RSIL)
Máxima (RSIL)
Mínima (RSIL)
18/03/25
Óeo DieselA
0,29
59
0,19
0,15
014
Gasolina A
0,07
0,02
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS*+
Média[RsI
18/03/25
Mínima (RSL
Óleo
Diesel A
5%
0,18
0,29
0,14
ENERGIA
ABICOM - PPI
Gasolina A
0.05
0.02","Abicom IStoneX
'Defasagem Média Petrobras considera os 5 polos Petrobras
não inclui Aratu (Acelen)
Defasagem Média nos Principais Polos considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média (%)
Média (RSIL)
Máxima (RSIL)
Mínima (RSIL)
18/03/25
Óeo DieselA
0,29
59
0,19
0,15
014
Gasolina A
0,07
0,02
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS*+
Média[RsI
18/03/25
Mínima (RSL
Óleo
Diesel A
5%
0,18
0,29
0,14
ENERGIA
ABICOM - PPI
Gasolina A
0.05
0.02","Abicom IStoneX
'Defasagem Média Petrobras considera os 5 polos Petrobras
não inclui Aratu (Acelen)
Defasagem Média nos Principais Polos considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média (%)
Média (RSIL)
Máxima (RSIL)
Mínima (RSIL)
18/03/25
Óeo DieselA
0,29
59
0,19
0,15
014
Gasolina A
0,07
0,02
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS*+
Média[RsI
18/03/25
Mínima (RSL
Óleo
Diesel A
5%
0,18
0,29
0,14
ENERGIA
ABICOM - PPI
Gasolina A
0.05
0.02"
18/03/25,Média (%),Média (RSIL),Máxima (RSIL),Mínima (RSIL),"Abicom IStoneX
'Defasagem Média Petrobras considera os 5 polos Petrobras
não inclui Aratu (Acelen)
Defasagem Média nos Principais Polos considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média (%)
Média (RSIL)
Máxima (RSIL)
Mínima (RSIL)
18/03/25
Óeo DieselA
0,29
59
0,19
0,15
014
Gasolina A
0,07
0,02
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS*+
Média[RsI
18/03/25
Mínima (RSL
Óleo
Diesel A
5%
0,18
0,29
0,14
ENERGIA
ABICOM - PPI
Gasolina A
0.05
0.02","Abicom IStoneX
'Defasagem Média Petrobras considera os 5 polos Petrobras
não inclui Aratu (Acelen)
Defasagem Média nos Principais Polos considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média (%)
Média (RSIL)
Máxima (RSIL)
Mínima (RSIL)
18/03/25
Óeo DieselA
0,29
59
0,19
0,15
014
Gasolina A
0,07
0,02
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS*+
Média[RsI
18/03/25
Mínima (RSL
Óleo
Diesel A
5%
0,18
0,29
0,14
ENERGIA
ABICOM - PPI
Gasolina A
0.05
0.02","Abicom IStoneX
'Defasagem Média Petrobras considera os 5 polos Petrobras
não inclui Aratu (Acelen)
Defasagem Média nos Principais Polos considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média (%)
Média (RSIL)
Máxima (RSIL)
Mínima (RSIL)
18/03/25
Óeo DieselA
0,29
59
0,19
0,15
014
Gasolina A
0,07
0,02
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS*+
Média[RsI
18/03/25
Mínima (RSL
Óleo
Diesel A
5%
0,18
0,29
0,14
ENERGIA
ABICOM - PPI
Gasolina A
0.05
0.02"
Óeo DieselA,59,"0,19","0,29","0,15","Abicom IStoneX
'Defasagem Média Petrobras considera os 5 polos Petrobras
não inclui Aratu (Acelen)
Defasagem Média nos Principais Polos considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média (%)
Média (RSIL)
Máxima (RSIL)
Mínima (RSIL)
18/03/25
Óeo DieselA
0,29
59
0,19
0,15
014
Gasolina A
0,07
0,02
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS*+
Média[RsI
18/03/25
Mínima (RSL
Óleo
Diesel A
5%
0,18
0,29
0,14
ENERGIA
ABICOM - PPI
Gasolina A
0.05
0.02","Abicom IStoneX
'Defasagem Média Petrobras considera os 5 polos Petrobras
não inclui Aratu (Acelen)
Defasagem Média nos Principais Polos considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média (%)
Média (RSIL)
Máxima (RSIL)
Mínima (RSIL)
18/03/25
Óeo DieselA
0,29
59
0,19
0,15
014
Gasolina A
0,07
0,02
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS*+
Média[RsI
18/03/25
Mínima (RSL
Óleo
Diesel A
5%
0,18
0,29
0,14
ENERGIA
ABICOM - PPI
Gasolina A
0.05
0.02","Abicom IStoneX
'Defasagem Média Petrobras considera os 5 polos Petrobras
não inclui Aratu (Acelen)
Defasagem Média nos Principais Polos considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média (%)
Média (RSIL)
Máxima (RSIL)
Mínima (RSIL)
18/03/25
Óeo DieselA
0,29
59
0,19
0,15
014
Gasolina A
0,07
0,02
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS*+
Média[RsI
18/03/25
Mínima (RSL
Óleo
Diesel A
5%
0,18
0,29
0,14
ENERGIA
ABICOM - PPI
Gasolina A
0.05
0.02"
Gasolina A,,"0,07",014,"0,02","Abicom IStoneX
'Defasagem Média Petrobras considera os 5 polos Petrobras
não inclui Aratu (Acelen)
Defasagem Média nos Principais Polos considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média (%)
Média (RSIL)
Máxima (RSIL)
Mínima (RSIL)
18/03/25
Óeo DieselA
0,29
59
0,19
0,15
014
Gasolina A
0,07
0,02
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS*+
Média[RsI
18/03/25
Mínima (RSL
Óleo
Diesel A
5%
0,18
0,29
0,14
ENERGIA
ABICOM - PPI
Gasolina A
0.05
0.02","Abicom IStoneX
'Defasagem Média Petrobras considera os 5 polos Petrobras
não inclui Aratu (Acelen)
Defasagem Média nos Principais Polos considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média (%)
Média (RSIL)
Máxima (RSIL)
Mínima (RSIL)
18/03/25
Óeo DieselA
0,29
59
0,19
0,15
014
Gasolina A
0,07
0,02
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS*+
Média[RsI
18/03/25
Mínima (RSL
Óleo
Diesel A
5%
0,18
0,29
0,14
ENERGIA
ABICOM - PPI
Gasolina A
0.05
0.02","Abicom IStoneX
'Defasagem Média Petrobras considera os 5 polos Petrobras
não inclui Aratu (Acelen)
Defasagem Média nos Principais Polos considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média (%)
Média (RSIL)
Máxima (RSIL)
Mínima (RSIL)
18/03/25
Óeo DieselA
0,29
59
0,19
0,15
014
Gasolina A
0,07
0,02
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS*+
Média[RsI
18/03/25
Mínima (RSL
Óleo
Diesel A
5%
0,18
0,29
0,14
ENERGIA
ABICOM - PPI
Gasolina A
0.05
0.02"
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS*+,DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS*+,DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS*+,DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS*+,DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS*+,"Abicom IStoneX
'Defasagem Média Petrobras considera os 5 polos Petrobras
não inclui Aratu (Acelen)
Defasagem Média nos Principais Polos considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média (%)
Média (RSIL)
Máxima (RSIL)
Mínima (RSIL)
18/03/25
Óeo DieselA
0,29
59
0,19
0,15
014
Gasolina A
0,07
0,02
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS*+
Média[RsI
18/03/25
Mínima (RSL
Óleo
Diesel A
5%
0,18
0,29
0,14
ENERGIA
ABICOM - PPI
Gasolina A
0.05
0.02","Abicom IStoneX
'Defasagem Média Petrobras considera os 5 polos Petrobras
não inclui Aratu (Acelen)
Defasagem Média nos Principais Polos considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média (%)
Média (RSIL)
Máxima (RSIL)
Mínima (RSIL)
18/03/25
Óeo DieselA
0,29
59
0,19
0,15
014
Gasolina A
0,07
0,02
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS*+
Média[RsI
18/03/25
Mínima (RSL
Óleo
Diesel A
5%
0,18
0,29
0,14
ENERGIA
ABICOM - PPI
Gasolina A
0.05
0.02","Abicom IStoneX
'Defasagem Média Petrobras considera os 5 polos Petrobras
não inclui Aratu (Acelen)
Defasagem Média nos Principais Polos considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média (%)
Média (RSIL)
Máxima (RSIL)
Mínima (RSIL)
18/03/25
Óeo DieselA
0,29
59
0,19
0,15
014
Gasolina A
0,07
0,02
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS*+
Média[RsI
18/03/25
Mínima (RSL
Óleo
Diesel A
5%
0,18
0,29
0,14
ENERGIA
ABICOM - PPI
Gasolina A
0.05
0.02"
