0,1,2,3,4,5,6,7
"ACOMPANHAMENTO DIÁRIO
11/03/25","ACOMPANHAMENTO DIÁRIO
11/03/25",PETROBRAS,PETROBRAS,PETROBRAS,PETROBRAS,PETROBRAS,ACELEN
"ACOMPANHAMENTO DIÁRIO
11/03/25","ACOMPANHAMENTO DIÁRIO
11/03/25",Itaqui,Suape,Paulínia,Araucária,Itacoatiara,Aratu
Óleo Diesel A,,36160,35889,37526,37238,37247,37141
Óleo Diesel A,PPI (RSIL),"3,4280","3,4280","3,6089","3,5675","3,4447","3,5126"
Óleo Diesel A,,"0,1880","0,1609",,,,"0,2015"
Óleo Diesel A,% Defasado,5%,,4%,4%,,5%
Gasolina A,Preço,29003,29176,"3,0308",9909,,"3,088"
Gasolina A,PPI (RS/L),27493,27493,29302,28888,7659,28339
Gasolina A,Defasagem (RS/L),"0,1510","0,1683","0,1006","0,1021",,"0,2548"
Gasolina A,% Defasado,5%,6%,3%,,,8%
"Abicom IStoneX
Defasagem Média Petrobras considera os 5 polos Petrobras
não inclui Aratu (Acelen)
""Defasagem Média nos Principais Polos; considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*","Abicom IStoneX
Defasagem Média Petrobras considera os 5 polos Petrobras
não inclui Aratu (Acelen)
""Defasagem Média nos Principais Polos; considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*","Abicom IStoneX
Defasagem Média Petrobras considera os 5 polos Petrobras
não inclui Aratu (Acelen)
""Defasagem Média nos Principais Polos; considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*","Abicom IStoneX
Defasagem Média Petrobras considera os 5 polos Petrobras
não inclui Aratu (Acelen)
""Defasagem Média nos Principais Polos; considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*","Abicom IStoneX
Defasagem Média Petrobras considera os 5 polos Petrobras
não inclui Aratu (Acelen)
""Defasagem Média nos Principais Polos; considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*","Abicom IStoneX
Defasagem Média Petrobras considera os 5 polos Petrobras
não inclui Aratu (Acelen)
""Defasagem Média nos Principais Polos; considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*","Abicom IStoneX
Defasagem Média Petrobras considera os 5 polos Petrobras
não inclui Aratu (Acelen)
""Defasagem Média nos Principais Polos; considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*","Abicom IStoneX
Defasagem Média Petrobras considera os 5 polos Petrobras
não inclui Aratu (Acelen)
""Defasagem Média nos Principais Polos; considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*"
"11/03/25
Mínima (RSIL
Óleo DieselA
0,19
0,28
0,14
Gasolina A
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**","11/03/25
Mínima (RSIL
Óleo DieselA
0,19
0,28
0,14
Gasolina A
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**","11/03/25
Mínima (RSIL
Óleo DieselA
0,19
0,28
0,14
Gasolina A
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**","11/03/25
Mínima (RSIL
Óleo DieselA
0,19
0,28
0,14
Gasolina A
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**","11/03/25
Mínima (RSIL
Óleo DieselA
0,19
0,28
0,14
Gasolina A
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**","11/03/25
Mínima (RSIL
Óleo DieselA
0,19
0,28
0,14
Gasolina A
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**","11/03/25
Mínima (RSIL
Óleo DieselA
0,19
0,28
0,14
Gasolina A
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**","11/03/25
Mínima (RSIL
Óleo DieselA
0,19
0,28
0,14
Gasolina A
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**"
"11/03/25
Média (%)
Máxima (RSIL)
Mínima (RSL)","11/03/25
Média (%)
Máxima (RSIL)
Mínima (RSL)","11/03/25
Média (%)
Máxima (RSIL)
Mínima (RSL)","11/03/25
Média (%)
Máxima (RSIL)
Mínima (RSL)","11/03/25
Média (%)
Máxima (RSIL)
Mínima (RSL)","11/03/25
Média (%)
Máxima (RSIL)
Mínima (RSL)","11/03/25
Média (%)
Máxima (RSIL)
Mínima (RSL)","11/03/25
Média (%)
Máxima (RSIL)
Mínima (RSL)"
"Óleo Diesel A
5%
0,28
0,14
0,19
ENERGIA
ABICOM
PPI
Gasolina A
017
0,25
0,10","Óleo Diesel A
5%
0,28
0,14
0,19
ENERGIA
ABICOM
PPI
Gasolina A
017
0,25
0,10","Óleo Diesel A
5%
0,28
0,14
0,19
ENERGIA
ABICOM
PPI
Gasolina A
017
0,25
0,10","Óleo Diesel A
5%
0,28
0,14
0,19
ENERGIA
ABICOM
PPI
Gasolina A
017
0,25
0,10","Óleo Diesel A
5%
0,28
0,14
0,19
ENERGIA
ABICOM
PPI
Gasolina A
017
0,25
0,10","Óleo Diesel A
5%
0,28
0,14
0,19
ENERGIA
ABICOM
PPI
Gasolina A
017
0,25
0,10","Óleo Diesel A
5%
0,28
0,14
0,19
ENERGIA
ABICOM
PPI
Gasolina A
017
0,25
0,10","Óleo Diesel A
5%
0,28
0,14
0,19
ENERGIA
ABICOM
PPI
Gasolina A
017
0,25
0,10"
