0,1,2,3,4,5,6,7
"ACOMPANHAMENTO DIÁRIO
24/03/25","ACOMPANHAMENTO DIÁRIO
24/03/25",PETROBRAS,PETROBRAS,PETROBRAS,PETROBRAS,PETROBRAS,ACELEN
"ACOMPANHAMENTO DIÁRIO
24/03/25","ACOMPANHAMENTO DIÁRIO
24/03/25",Itaqui,Suape,Paulínia,Araucária,Itacoatiara,Aratu
Óleo Diesel A,,"3,6160","3,5889","3,7526",37238,37247,"3,4961"
Óleo Diesel A,PPI,35205,"3,5205","3,7168","3,6754","3,5371","3,6051"
Óleo Diesel A,Defasagem (RSIL),"0,0955","0,0684","0,0358","0,0484","0,1876","0,1090"
Óleo Diesel A,% Defasado,3%,2%,1%,1%,5%,-3%
Gasolina A,,29003,29176,"3,0308",29909,29958,29190
Gasolina A,PPI,28519,28519,30387,29973,"2,8686",29365
Gasolina A,Defasagem (RS/L),"0,0484","0,0657",00,"0,0064","0,1272","0,0175"
Gasolina A,% Defasado,,,,,,-19
