0,1,2,3,4,5,6,7
"ACOMPANHAMENTO DIÁRIO
14/03/25","ACOMPANHAMENTO DIÁRIO
14/03/25",PETROBRAS,PETROBRAS,PETROBRAS,PETROBRAS,PETROBRAS,ACELEN _
"ACOMPANHAMENTO DIÁRIO
14/03/25","ACOMPANHAMENTO DIÁRIO
14/03/25",Itaqui_,Suape _,Paulínia,Araucária,Itacoatiara,Aratu
Óleo Diesel A,,36160,35889,27526,37238,37247,36451
Óleo Diesel A,PPI (RS/L),"3,4165","3,4165","3,5952",35538,"3,4331","3,5011"
Óleo Diesel A,,"0,1995","0,1724","0,1574","0,170",2916,"0,1440"
Óleo Diesel A,% Defasado,,5%,4%,,,
Gasolina A,,9003,29176,"3,0308",9909,9958,29007
Gasolina A,PPI (RS/L),28119,28119,29832,29418,28286,28965
Gasolina A,Defasagem (RS/L),"0,0884","0,1057",0476,"0,049",",1672","0,0042"
Gasolina A,% Defasado,,,,,,0%
"Abicom
Defasagem Média Petrobras considera os 5 polos Petrobras
não inclui Aratu (Acelen)
StoneX
""Defasagem Média nos Principais Polos; considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*","Abicom
Defasagem Média Petrobras considera os 5 polos Petrobras
não inclui Aratu (Acelen)
StoneX
""Defasagem Média nos Principais Polos; considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*","Abicom
Defasagem Média Petrobras considera os 5 polos Petrobras
não inclui Aratu (Acelen)
StoneX
""Defasagem Média nos Principais Polos; considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*","Abicom
Defasagem Média Petrobras considera os 5 polos Petrobras
não inclui Aratu (Acelen)
StoneX
""Defasagem Média nos Principais Polos; considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*","Abicom
Defasagem Média Petrobras considera os 5 polos Petrobras
não inclui Aratu (Acelen)
StoneX
""Defasagem Média nos Principais Polos; considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*","Abicom
Defasagem Média Petrobras considera os 5 polos Petrobras
não inclui Aratu (Acelen)
StoneX
""Defasagem Média nos Principais Polos; considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*","Abicom
Defasagem Média Petrobras considera os 5 polos Petrobras
não inclui Aratu (Acelen)
StoneX
""Defasagem Média nos Principais Polos; considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*","Abicom
Defasagem Média Petrobras considera os 5 polos Petrobras
não inclui Aratu (Acelen)
StoneX
""Defasagem Média nos Principais Polos; considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*"
"14/03/25
Média
Óleo DieselA
20
29
0,16
Gasolina A
0,09
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**","14/03/25
Média
Óleo DieselA
20
29
0,16
Gasolina A
0,09
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**","14/03/25
Média
Óleo DieselA
20
29
0,16
Gasolina A
0,09
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**","14/03/25
Média
Óleo DieselA
20
29
0,16
Gasolina A
0,09
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**","14/03/25
Média
Óleo DieselA
20
29
0,16
Gasolina A
0,09
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**","14/03/25
Média
Óleo DieselA
20
29
0,16
Gasolina A
0,09
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**","14/03/25
Média
Óleo DieselA
20
29
0,16
Gasolina A
0,09
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**","14/03/25
Média
Óleo DieselA
20
29
0,16
Gasolina A
0,09
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**"
"14/03/25
Média
Mínima (RSIL)","14/03/25
Média
Mínima (RSIL)","14/03/25
Média
Mínima (RSIL)","14/03/25
Média
Mínima (RSIL)","14/03/25
Média
Mínima (RSIL)","14/03/25
Média
Mínima (RSIL)","14/03/25
Média
Mínima (RSIL)","14/03/25
Média
Mínima (RSIL)"
"Óleo Diesel A
0,19
0,29
0,14
5%
ENERGIA
ABICOM
PPI
Gasolina A
017
3%
0,.08
0,00","Óleo Diesel A
0,19
0,29
0,14
5%
ENERGIA
ABICOM
PPI
Gasolina A
017
3%
0,.08
0,00","Óleo Diesel A
0,19
0,29
0,14
5%
ENERGIA
ABICOM
PPI
Gasolina A
017
3%
0,.08
0,00","Óleo Diesel A
0,19
0,29
0,14
5%
ENERGIA
ABICOM
PPI
Gasolina A
017
3%
0,.08
0,00","Óleo Diesel A
0,19
0,29
0,14
5%
ENERGIA
ABICOM
PPI
Gasolina A
017
3%
0,.08
0,00","Óleo Diesel A
0,19
0,29
0,14
5%
ENERGIA
ABICOM
PPI
Gasolina A
017
3%
0,.08
0,00","Óleo Diesel A
0,19
0,29
0,14
5%
ENERGIA
ABICOM
PPI
Gasolina A
017
3%
0,.08
0,00","Óleo Diesel A
0,19
0,29
0,14
5%
ENERGIA
ABICOM
PPI
Gasolina A
017
3%
0,.08
0,00"
