0,1,2,3,4,5,6,7
"ACOMPANHAMENTO DIÁRIO
21/03/25","ACOMPANHAMENTO DIÁRIO
21/03/25",PETROBRAS,PETROBRAS,PETROBRAS,PETROBRAS,PETROBRAS,ACELEN
"ACOMPANHAMENTO DIÁRIO
21/03/25","ACOMPANHAMENTO DIÁRIO
21/03/25",Itaqui,Suape,Paulínia _,Araucária,Itacoatiara,Aratu
Óleo Diesel A,,"3,6160","3,5889","3,7526","3,7238","3,7247","3,4961"
Óleo Diesel A,,"3,4907",3490,36861,"3,6447","3,5074",35753
Óleo Diesel A,Defasagem (RS[L),"0,1253","0,0982",0665,0791,"0,2173","0,0792"
Óleo Diesel A,% Defasado,39,3%,2%,,,-2%
Gasolina A,,"2,9003","2,9176","3,0308",9909,9958,29190
Gasolina A,,28157,28157,30017,29603,28323,29003
Gasolina A,Defasagem (RS/L),"0,0846","0,1019",0291,0306,"0,1635","0,0187"
Gasolina A,% Defasado,,39,,,,
"Abicom IStoneX
Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu
Acelen)
""Defasagem Média nos Principais Polos, considerando os 6 polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média RSI
21/03/25
Média (%)
Óleo DieselA
0,22
0,12
0,16
0,03
Gasolina A
3%
0,.08
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
21/03/25
Média (RSL
Mínima (RSD
0,22
-0,08
0,08
ENERGIA
ABICOM - PPI
0,16
Gasolina A
0.07
0.02","Abicom IStoneX
Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu
Acelen)
""Defasagem Média nos Principais Polos, considerando os 6 polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média RSI
21/03/25
Média (%)
Óleo DieselA
0,22
0,12
0,16
0,03
Gasolina A
3%
0,.08
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
21/03/25
Média (RSL
Mínima (RSD
0,22
-0,08
0,08
ENERGIA
ABICOM - PPI
0,16
Gasolina A
0.07
0.02","Abicom IStoneX
Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu
Acelen)
""Defasagem Média nos Principais Polos, considerando os 6 polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média RSI
21/03/25
Média (%)
Óleo DieselA
0,22
0,12
0,16
0,03
Gasolina A
3%
0,.08
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
21/03/25
Média (RSL
Mínima (RSD
0,22
-0,08
0,08
ENERGIA
ABICOM - PPI
0,16
Gasolina A
0.07
0.02","Abicom IStoneX
Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu
Acelen)
""Defasagem Média nos Principais Polos, considerando os 6 polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média RSI
21/03/25
Média (%)
Óleo DieselA
0,22
0,12
0,16
0,03
Gasolina A
3%
0,.08
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
21/03/25
Média (RSL
Mínima (RSD
0,22
-0,08
0,08
ENERGIA
ABICOM - PPI
0,16
Gasolina A
0.07
0.02","Abicom IStoneX
Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu
Acelen)
""Defasagem Média nos Principais Polos, considerando os 6 polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média RSI
21/03/25
Média (%)
Óleo DieselA
0,22
0,12
0,16
0,03
Gasolina A
3%
0,.08
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
21/03/25
Média (RSL
Mínima (RSD
0,22
-0,08
0,08
ENERGIA
ABICOM - PPI
0,16
Gasolina A
0.07
0.02","Abicom IStoneX
Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu
Acelen)
""Defasagem Média nos Principais Polos, considerando os 6 polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média RSI
21/03/25
Média (%)
Óleo DieselA
0,22
0,12
0,16
0,03
Gasolina A
3%
0,.08
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
21/03/25
Média (RSL
Mínima (RSD
0,22
-0,08
0,08
ENERGIA
ABICOM - PPI
0,16
Gasolina A
0.07
0.02","Abicom IStoneX
Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu
Acelen)
""Defasagem Média nos Principais Polos, considerando os 6 polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média RSI
21/03/25
Média (%)
Óleo DieselA
0,22
0,12
0,16
0,03
Gasolina A
3%
0,.08
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
21/03/25
Média (RSL
Mínima (RSD
0,22
-0,08
0,08
ENERGIA
ABICOM - PPI
0,16
Gasolina A
0.07
0.02","Abicom IStoneX
Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu
Acelen)
""Defasagem Média nos Principais Polos, considerando os 6 polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média RSI
21/03/25
Média (%)
Óleo DieselA
0,22
0,12
0,16
0,03
Gasolina A
3%
0,.08
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
21/03/25
Média (RSL
Mínima (RSD
0,22
-0,08
0,08
ENERGIA
ABICOM - PPI
0,16
Gasolina A
0.07
0.02"
