0,1,2,3,4,5,6,7
"ACOMPANHAMENTO DIÁRIO
27/02/25","ACOMPANHAMENTO DIÁRIO
27/02/25",PETROBRAS,PETROBRAS,PETROBRAS,PETROBRAS,PETROBRAS,ACELEN
"ACOMPANHAMENTO DIÁRIO
27/02/25","ACOMPANHAMENTO DIÁRIO
27/02/25","ACOMPANHAMENTO DIÁRIO
27/02/25",Suape,Paulínia,Araucária,Itacoatiara,Aratu
Óleo Diesel A,Preco [RSIL),"3,6160","3,5889",37526,"3,7238","3,7247","3,7365"
Óleo Diesel A,,"3,6717",36717,"3,8618",38204,36884,37564
Óleo Diesel A,Defasagem (RS[L),"0,0557","-0,0828","0,1092","-0,0966",0363,"-0,0199"
Óleo Diesel A,% Defasado,1-2%,2%,3%,,,-1%
Gasolina,Preco [RSIL),"2,9003","2,9176","3,0308","2,9909",9958,"3,0887"
Gasolina,,28197,28197,009,29683,28364,29043
Gasolina,Defasagem (RS/L),"0,0806","0,0979",021,"0,0226","0,1594","0,1844"
Gasolina,% Defasado,,,,,,
"Abicom
polos Petrobras
Defasagem Média Petrobras considera os
não inclui Aratu
Acelen)
StoneX
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média (%)
Mínima (RSIL)
27/02/25
Óleo DieselA
0,06
011
0,04
0,16
Gasolina A
39
0,08
0,02
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
Média[RsI
27/02/25
Mínima (RSL
Óleo Diesel A
1%
-0,05
0,04
ENERGIA
ABICOM - PPI
0,18
Gasolina A
39
0.09
0.02","Abicom
polos Petrobras
Defasagem Média Petrobras considera os
não inclui Aratu
Acelen)
StoneX
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média (%)
Mínima (RSIL)
27/02/25
Óleo DieselA
0,06
011
0,04
0,16
Gasolina A
39
0,08
0,02
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
Média[RsI
27/02/25
Mínima (RSL
Óleo Diesel A
1%
-0,05
0,04
ENERGIA
ABICOM - PPI
0,18
Gasolina A
39
0.09
0.02","Abicom
polos Petrobras
Defasagem Média Petrobras considera os
não inclui Aratu
Acelen)
StoneX
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média (%)
Mínima (RSIL)
27/02/25
Óleo DieselA
0,06
011
0,04
0,16
Gasolina A
39
0,08
0,02
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
Média[RsI
27/02/25
Mínima (RSL
Óleo Diesel A
1%
-0,05
0,04
ENERGIA
ABICOM - PPI
0,18
Gasolina A
39
0.09
0.02","Abicom
polos Petrobras
Defasagem Média Petrobras considera os
não inclui Aratu
Acelen)
StoneX
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média (%)
Mínima (RSIL)
27/02/25
Óleo DieselA
0,06
011
0,04
0,16
Gasolina A
39
0,08
0,02
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
Média[RsI
27/02/25
Mínima (RSL
Óleo Diesel A
1%
-0,05
0,04
ENERGIA
ABICOM - PPI
0,18
Gasolina A
39
0.09
0.02","Abicom
polos Petrobras
Defasagem Média Petrobras considera os
não inclui Aratu
Acelen)
StoneX
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média (%)
Mínima (RSIL)
27/02/25
Óleo DieselA
0,06
011
0,04
0,16
Gasolina A
39
0,08
0,02
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
Média[RsI
27/02/25
Mínima (RSL
Óleo Diesel A
1%
-0,05
0,04
ENERGIA
ABICOM - PPI
0,18
Gasolina A
39
0.09
0.02","Abicom
polos Petrobras
Defasagem Média Petrobras considera os
não inclui Aratu
Acelen)
StoneX
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média (%)
Mínima (RSIL)
27/02/25
Óleo DieselA
0,06
011
0,04
0,16
Gasolina A
39
0,08
0,02
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
Média[RsI
27/02/25
Mínima (RSL
Óleo Diesel A
1%
-0,05
0,04
ENERGIA
ABICOM - PPI
0,18
Gasolina A
39
0.09
0.02","Abicom
polos Petrobras
Defasagem Média Petrobras considera os
não inclui Aratu
Acelen)
StoneX
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média (%)
Mínima (RSIL)
27/02/25
Óleo DieselA
0,06
011
0,04
0,16
Gasolina A
39
0,08
0,02
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
Média[RsI
27/02/25
Mínima (RSL
Óleo Diesel A
1%
-0,05
0,04
ENERGIA
ABICOM - PPI
0,18
Gasolina A
39
0.09
0.02","Abicom
polos Petrobras
Defasagem Média Petrobras considera os
não inclui Aratu
Acelen)
StoneX
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média (%)
Mínima (RSIL)
27/02/25
Óleo DieselA
0,06
011
0,04
0,16
Gasolina A
39
0,08
0,02
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
Média[RsI
27/02/25
Mínima (RSL
Óleo Diesel A
1%
-0,05
0,04
ENERGIA
ABICOM - PPI
0,18
Gasolina A
39
0.09
0.02"
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*,DEFASAGEM MÉDIA NOS POLOS PETROBRAS*,DEFASAGEM MÉDIA NOS POLOS PETROBRAS*,DEFASAGEM MÉDIA NOS POLOS PETROBRAS*,DEFASAGEM MÉDIA NOS POLOS PETROBRAS*,"Abicom
polos Petrobras
Defasagem Média Petrobras considera os
não inclui Aratu
Acelen)
StoneX
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média (%)
Mínima (RSIL)
27/02/25
Óleo DieselA
0,06
011
0,04
0,16
Gasolina A
39
0,08
0,02
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
Média[RsI
27/02/25
Mínima (RSL
Óleo Diesel A
1%
-0,05
0,04
ENERGIA
ABICOM - PPI
0,18
Gasolina A
39
0.09
0.02","Abicom
polos Petrobras
Defasagem Média Petrobras considera os
não inclui Aratu
Acelen)
StoneX
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média (%)
Mínima (RSIL)
27/02/25
Óleo DieselA
0,06
011
0,04
0,16
Gasolina A
39
0,08
0,02
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
Média[RsI
27/02/25
Mínima (RSL
Óleo Diesel A
1%
-0,05
0,04
ENERGIA
ABICOM - PPI
0,18
Gasolina A
39
0.09
0.02","Abicom
polos Petrobras
Defasagem Média Petrobras considera os
não inclui Aratu
Acelen)
StoneX
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média (%)
Mínima (RSIL)
27/02/25
Óleo DieselA
0,06
011
0,04
0,16
Gasolina A
39
0,08
0,02
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
Média[RsI
27/02/25
Mínima (RSL
Óleo Diesel A
1%
-0,05
0,04
ENERGIA
ABICOM - PPI
0,18
Gasolina A
39
0.09
0.02"
27/02/25,Média (%),,,Mínima (RSIL),"Abicom
polos Petrobras
Defasagem Média Petrobras considera os
não inclui Aratu
Acelen)
StoneX
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média (%)
Mínima (RSIL)
27/02/25
Óleo DieselA
0,06
011
0,04
0,16
Gasolina A
39
0,08
0,02
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
Média[RsI
27/02/25
Mínima (RSL
Óleo Diesel A
1%
-0,05
0,04
ENERGIA
ABICOM - PPI
0,18
Gasolina A
39
0.09
0.02","Abicom
polos Petrobras
Defasagem Média Petrobras considera os
não inclui Aratu
Acelen)
StoneX
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média (%)
Mínima (RSIL)
27/02/25
Óleo DieselA
0,06
011
0,04
0,16
Gasolina A
39
0,08
0,02
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
Média[RsI
27/02/25
Mínima (RSL
Óleo Diesel A
1%
-0,05
0,04
ENERGIA
ABICOM - PPI
0,18
Gasolina A
39
0.09
0.02","Abicom
polos Petrobras
Defasagem Média Petrobras considera os
não inclui Aratu
Acelen)
StoneX
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média (%)
Mínima (RSIL)
27/02/25
Óleo DieselA
0,06
011
0,04
0,16
Gasolina A
39
0,08
0,02
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
Média[RsI
27/02/25
Mínima (RSL
Óleo Diesel A
1%
-0,05
0,04
ENERGIA
ABICOM - PPI
0,18
Gasolina A
39
0.09
0.02"
Óleo DieselA,,"0,06",011,"0,04","Abicom
polos Petrobras
Defasagem Média Petrobras considera os
não inclui Aratu
Acelen)
StoneX
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média (%)
Mínima (RSIL)
27/02/25
Óleo DieselA
0,06
011
0,04
0,16
Gasolina A
39
0,08
0,02
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
Média[RsI
27/02/25
Mínima (RSL
Óleo Diesel A
1%
-0,05
0,04
ENERGIA
ABICOM - PPI
0,18
Gasolina A
39
0.09
0.02","Abicom
polos Petrobras
Defasagem Média Petrobras considera os
não inclui Aratu
Acelen)
StoneX
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média (%)
Mínima (RSIL)
27/02/25
Óleo DieselA
0,06
011
0,04
0,16
Gasolina A
39
0,08
0,02
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
Média[RsI
27/02/25
Mínima (RSL
Óleo Diesel A
1%
-0,05
0,04
ENERGIA
ABICOM - PPI
0,18
Gasolina A
39
0.09
0.02","Abicom
polos Petrobras
Defasagem Média Petrobras considera os
não inclui Aratu
Acelen)
StoneX
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média (%)
Mínima (RSIL)
27/02/25
Óleo DieselA
0,06
011
0,04
0,16
Gasolina A
39
0,08
0,02
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
Média[RsI
27/02/25
Mínima (RSL
Óleo Diesel A
1%
-0,05
0,04
ENERGIA
ABICOM - PPI
0,18
Gasolina A
39
0.09
0.02"
Gasolina A,39,"0,08","0,16","0,02","Abicom
polos Petrobras
Defasagem Média Petrobras considera os
não inclui Aratu
Acelen)
StoneX
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média (%)
Mínima (RSIL)
27/02/25
Óleo DieselA
0,06
011
0,04
0,16
Gasolina A
39
0,08
0,02
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
Média[RsI
27/02/25
Mínima (RSL
Óleo Diesel A
1%
-0,05
0,04
ENERGIA
ABICOM - PPI
0,18
Gasolina A
39
0.09
0.02","Abicom
polos Petrobras
Defasagem Média Petrobras considera os
não inclui Aratu
Acelen)
StoneX
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média (%)
Mínima (RSIL)
27/02/25
Óleo DieselA
0,06
011
0,04
0,16
Gasolina A
39
0,08
0,02
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
Média[RsI
27/02/25
Mínima (RSL
Óleo Diesel A
1%
-0,05
0,04
ENERGIA
ABICOM - PPI
0,18
Gasolina A
39
0.09
0.02","Abicom
polos Petrobras
Defasagem Média Petrobras considera os
não inclui Aratu
Acelen)
StoneX
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média (%)
Mínima (RSIL)
27/02/25
Óleo DieselA
0,06
011
0,04
0,16
Gasolina A
39
0,08
0,02
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
Média[RsI
27/02/25
Mínima (RSL
Óleo Diesel A
1%
-0,05
0,04
ENERGIA
ABICOM - PPI
0,18
Gasolina A
39
0.09
0.02"
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**,DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**,DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**,DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**,DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**,"Abicom
polos Petrobras
Defasagem Média Petrobras considera os
não inclui Aratu
Acelen)
StoneX
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média (%)
Mínima (RSIL)
27/02/25
Óleo DieselA
0,06
011
0,04
0,16
Gasolina A
39
0,08
0,02
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
Média[RsI
27/02/25
Mínima (RSL
Óleo Diesel A
1%
-0,05
0,04
ENERGIA
ABICOM - PPI
0,18
Gasolina A
39
0.09
0.02","Abicom
polos Petrobras
Defasagem Média Petrobras considera os
não inclui Aratu
Acelen)
StoneX
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média (%)
Mínima (RSIL)
27/02/25
Óleo DieselA
0,06
011
0,04
0,16
Gasolina A
39
0,08
0,02
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
Média[RsI
27/02/25
Mínima (RSL
Óleo Diesel A
1%
-0,05
0,04
ENERGIA
ABICOM - PPI
0,18
Gasolina A
39
0.09
0.02","Abicom
polos Petrobras
Defasagem Média Petrobras considera os
não inclui Aratu
Acelen)
StoneX
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média (%)
Mínima (RSIL)
27/02/25
Óleo DieselA
0,06
011
0,04
0,16
Gasolina A
39
0,08
0,02
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
Média[RsI
27/02/25
Mínima (RSL
Óleo Diesel A
1%
-0,05
0,04
ENERGIA
ABICOM - PPI
0,18
Gasolina A
39
0.09
0.02"
