0,1,2,3,4,5,6,7
"ACOMPANHAMENTO DIÁRIO
24/02/25","ACOMPANHAMENTO DIÁRIO
24/02/25",PETROBRAS,PETROBRAS,PETROBRAS,PETROBRAS,PETROBRAS,ACELEN
"ACOMPANHAMENTO DIÁRIO
24/02/25","ACOMPANHAMENTO DIÁRIO
24/02/25",Itaqui_,Suape _,Paulínia,Araucária,Itacoatiara,Aratu
Óleo Diesel A,,"3,6160","3,5889",37526,37238,37247,37365
Óleo Diesel A,PPIRSI,31499,37499,3939,"3,8976",37666,38345
Óleo Diesel A,Defasagem (RS[L),"0,1339","0,1610","0,1864","-0,1738","0,041","0,0980"
Óleo Diesel A,Defasado,,4%,,5%,,-3%
Gasolina A,,29003,29176,"3,0308",29909,29958,"3,088"
Gasolina A,PPIRSI,29034,29034,30925,"3,0511",9201,29881
Gasolina A,Defasagem (RS/L),"0,0031",00142,"0,061","0,0602",0757,"0,1006"
Gasolina A,% Defasado,,,,,,39
"Abicom IStoneX
Defasagem Média Petrobras considera os 5 polos Petrobras
não inclui Aratu (Acelen)
""Defasagem Média nos
'rincipais Polos, considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*","Abicom IStoneX
Defasagem Média Petrobras considera os 5 polos Petrobras
não inclui Aratu (Acelen)
""Defasagem Média nos
'rincipais Polos, considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*","Abicom IStoneX
Defasagem Média Petrobras considera os 5 polos Petrobras
não inclui Aratu (Acelen)
""Defasagem Média nos
'rincipais Polos, considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*","Abicom IStoneX
Defasagem Média Petrobras considera os 5 polos Petrobras
não inclui Aratu (Acelen)
""Defasagem Média nos
'rincipais Polos, considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*","Abicom IStoneX
Defasagem Média Petrobras considera os 5 polos Petrobras
não inclui Aratu (Acelen)
""Defasagem Média nos
'rincipais Polos, considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*","Abicom IStoneX
Defasagem Média Petrobras considera os 5 polos Petrobras
não inclui Aratu (Acelen)
""Defasagem Média nos
'rincipais Polos, considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*","Abicom IStoneX
Defasagem Média Petrobras considera os 5 polos Petrobras
não inclui Aratu (Acelen)
""Defasagem Média nos
'rincipais Polos, considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*","Abicom IStoneX
Defasagem Média Petrobras considera os 5 polos Petrobras
não inclui Aratu (Acelen)
""Defasagem Média nos
'rincipais Polos, considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*"
"Média (%)
Máxima (RSIL)
Mínima (RSIL)
24/02/25
Óleo DieselA
0,14
0,04
Gasolina A
0%
0,08
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**","Média (%)
Máxima (RSIL)
Mínima (RSIL)
24/02/25
Óleo DieselA
0,14
0,04
Gasolina A
0%
0,08
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**","Média (%)
Máxima (RSIL)
Mínima (RSIL)
24/02/25
Óleo DieselA
0,14
0,04
Gasolina A
0%
0,08
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**","Média (%)
Máxima (RSIL)
Mínima (RSIL)
24/02/25
Óleo DieselA
0,14
0,04
Gasolina A
0%
0,08
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**","Média (%)
Máxima (RSIL)
Mínima (RSIL)
24/02/25
Óleo DieselA
0,14
0,04
Gasolina A
0%
0,08
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**","Média (%)
Máxima (RSIL)
Mínima (RSIL)
24/02/25
Óleo DieselA
0,14
0,04
Gasolina A
0%
0,08
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**","Média (%)
Máxima (RSIL)
Mínima (RSIL)
24/02/25
Óleo DieselA
0,14
0,04
Gasolina A
0%
0,08
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**","Média (%)
Máxima (RSIL)
Mínima (RSIL)
24/02/25
Óleo DieselA
0,14
0,04
Gasolina A
0%
0,08
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**"
"24/02/25
Média (%
Mínima (RSL","24/02/25
Média (%
Mínima (RSL","24/02/25
Média (%
Mínima (RSL","24/02/25
Média (%
Mínima (RSL","24/02/25
Média (%
Mínima (RSL","24/02/25
Média (%
Mínima (RSL","24/02/25
Média (%
Mínima (RSL","24/02/25
Média (%
Mínima (RSL"
"Óleo Diesel A
0,13
4%
0,19
-0,04
ENERGIA
ABICOM
Gasolina A
09
0.01
0,06","Óleo Diesel A
0,13
4%
0,19
-0,04
ENERGIA
ABICOM
Gasolina A
09
0.01
0,06","Óleo Diesel A
0,13
4%
0,19
-0,04
ENERGIA
ABICOM
Gasolina A
09
0.01
0,06","Óleo Diesel A
0,13
4%
0,19
-0,04
ENERGIA
ABICOM
Gasolina A
09
0.01
0,06","Óleo Diesel A
0,13
4%
0,19
-0,04
ENERGIA
ABICOM
Gasolina A
09
0.01
0,06","Óleo Diesel A
0,13
4%
0,19
-0,04
ENERGIA
ABICOM
Gasolina A
09
0.01
0,06","Óleo Diesel A
0,13
4%
0,19
-0,04
ENERGIA
ABICOM
Gasolina A
09
0.01
0,06","Óleo Diesel A
0,13
4%
0,19
-0,04
ENERGIA
ABICOM
Gasolina A
09
0.01
0,06"
