0,1,2,3,4,5,6,7
"ACOMPANHAMENTO DIÁRIO
18/02/25","ACOMPANHAMENTO DIÁRIO
18/02/25",PETROBRAS,PETROBRAS,PETROBRAS,PETROBRAS,PETROBRAS,ACELEN
"ACOMPANHAMENTO DIÁRIO
18/02/25","ACOMPANHAMENTO DIÁRIO
18/02/25",Itaqui,Suape _,Paulínia,Araucária,Itacoatiara,Aratu
Óleo Diesel A,,"3,6160",35889,37526,37238,37247,37365
Óleo Diesel A,PPI (RS/L),"3,7771","3,7771",39571,"3,9157","3,7938","3,8618"
Óleo Diesel A,,,"0,1882","0,2045","0,1919",069,011253
Óleo Diesel A,% Defasado,,5%,-5%,5%,,
Gasolina A,,29003,29176,30308,"2,9909",9958,"3,088"
Gasolina A,PPI (RS/L),"3,0089","3,0089",31889,"3,1475","3,0255","3,0935"
Gasolina A,,"-0,1086","-0,0913","0,158","-0,1566","0,0297","0,0048"
Gasolina A,% Defasado,4%,,,,,
"Abicom
Defasagem Média Petrobras considera os 5 polos Petrobras
StoneX
não inclui Aratu (Acelen)
""Defasagem Média nos Principais Polos; considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média[RsI
18/02/25
Média (%]
Máxima (RSL
Mínima (RSL
Óleo DieselA
0,16
0,20
Gasolina A
49
011
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
18/02/25
Média (%)
Média (RSL)
Mínima (RSIL)
Óleo Diesel A
-0,20
-4%
0,16
0,07
ENERGIA
ABICOM - PPI
Gasolina A
0,00","Abicom
Defasagem Média Petrobras considera os 5 polos Petrobras
StoneX
não inclui Aratu (Acelen)
""Defasagem Média nos Principais Polos; considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média[RsI
18/02/25
Média (%]
Máxima (RSL
Mínima (RSL
Óleo DieselA
0,16
0,20
Gasolina A
49
011
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
18/02/25
Média (%)
Média (RSL)
Mínima (RSIL)
Óleo Diesel A
-0,20
-4%
0,16
0,07
ENERGIA
ABICOM - PPI
Gasolina A
0,00","Abicom
Defasagem Média Petrobras considera os 5 polos Petrobras
StoneX
não inclui Aratu (Acelen)
""Defasagem Média nos Principais Polos; considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média[RsI
18/02/25
Média (%]
Máxima (RSL
Mínima (RSL
Óleo DieselA
0,16
0,20
Gasolina A
49
011
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
18/02/25
Média (%)
Média (RSL)
Mínima (RSIL)
Óleo Diesel A
-0,20
-4%
0,16
0,07
ENERGIA
ABICOM - PPI
Gasolina A
0,00","Abicom
Defasagem Média Petrobras considera os 5 polos Petrobras
StoneX
não inclui Aratu (Acelen)
""Defasagem Média nos Principais Polos; considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média[RsI
18/02/25
Média (%]
Máxima (RSL
Mínima (RSL
Óleo DieselA
0,16
0,20
Gasolina A
49
011
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
18/02/25
Média (%)
Média (RSL)
Mínima (RSIL)
Óleo Diesel A
-0,20
-4%
0,16
0,07
ENERGIA
ABICOM - PPI
Gasolina A
0,00","Abicom
Defasagem Média Petrobras considera os 5 polos Petrobras
StoneX
não inclui Aratu (Acelen)
""Defasagem Média nos Principais Polos; considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média[RsI
18/02/25
Média (%]
Máxima (RSL
Mínima (RSL
Óleo DieselA
0,16
0,20
Gasolina A
49
011
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
18/02/25
Média (%)
Média (RSL)
Mínima (RSIL)
Óleo Diesel A
-0,20
-4%
0,16
0,07
ENERGIA
ABICOM - PPI
Gasolina A
0,00","Abicom
Defasagem Média Petrobras considera os 5 polos Petrobras
StoneX
não inclui Aratu (Acelen)
""Defasagem Média nos Principais Polos; considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média[RsI
18/02/25
Média (%]
Máxima (RSL
Mínima (RSL
Óleo DieselA
0,16
0,20
Gasolina A
49
011
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
18/02/25
Média (%)
Média (RSL)
Mínima (RSIL)
Óleo Diesel A
-0,20
-4%
0,16
0,07
ENERGIA
ABICOM - PPI
Gasolina A
0,00","Abicom
Defasagem Média Petrobras considera os 5 polos Petrobras
StoneX
não inclui Aratu (Acelen)
""Defasagem Média nos Principais Polos; considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média[RsI
18/02/25
Média (%]
Máxima (RSL
Mínima (RSL
Óleo DieselA
0,16
0,20
Gasolina A
49
011
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
18/02/25
Média (%)
Média (RSL)
Mínima (RSIL)
Óleo Diesel A
-0,20
-4%
0,16
0,07
ENERGIA
ABICOM - PPI
Gasolina A
0,00","Abicom
Defasagem Média Petrobras considera os 5 polos Petrobras
StoneX
não inclui Aratu (Acelen)
""Defasagem Média nos Principais Polos; considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média[RsI
18/02/25
Média (%]
Máxima (RSL
Mínima (RSL
Óleo DieselA
0,16
0,20
Gasolina A
49
011
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
18/02/25
Média (%)
Média (RSL)
Mínima (RSIL)
Óleo Diesel A
-0,20
-4%
0,16
0,07
ENERGIA
ABICOM - PPI
Gasolina A
0,00"
