0,1,2,3,4,5,6,7
"ACOMPANHAMENTO DIÁRIO
26/02/25","ACOMPANHAMENTO DIÁRIO
26/02/25",PETROBRAS,PETROBRAS,PETROBRAS,PETROBRAS,PETROBRAS,ACELEN _
"ACOMPANHAMENTO DIÁRIO
26/02/25","ACOMPANHAMENTO DIÁRIO
26/02/25",Itaqui,Suape _,Paulínia,Araucária,Itacoatiara,Aratu
Óleo Diesel A,,"3,6160",35889,27526,37238,37247,37365
Óleo Diesel A,PPI (RS/L),"3,7427","3,7427","3,9328",38914,27594,"3,8274"
Óleo Diesel A,,"0,1267","0,1538","0,180","0,1676",034,"0,0909"
Óleo Diesel A,% Defasado,,4%,~5%,5%,,-2%
Gasolina A,,29003,29176,30308,29909,9958,"3,088"
Gasolina A,PPI (RS/L),28491,28491,"3,0392",29978,28658,29337
Gasolina A,Defasagem (RS/L),"0,0512","0,0685",,0069,0.1300,"0,1550"
Gasolina A,% Defasado,,,,,,5%
"Abicom IStoneX
FDefasagem Média Petrobras considera os 5 polos
etrobras
não inclui Aratu (Acelen)
Defasagem Média nos Principais Polos, considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*","Abicom IStoneX
FDefasagem Média Petrobras considera os 5 polos
etrobras
não inclui Aratu (Acelen)
Defasagem Média nos Principais Polos, considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*","Abicom IStoneX
FDefasagem Média Petrobras considera os 5 polos
etrobras
não inclui Aratu (Acelen)
Defasagem Média nos Principais Polos, considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*","Abicom IStoneX
FDefasagem Média Petrobras considera os 5 polos
etrobras
não inclui Aratu (Acelen)
Defasagem Média nos Principais Polos, considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*","Abicom IStoneX
FDefasagem Média Petrobras considera os 5 polos
etrobras
não inclui Aratu (Acelen)
Defasagem Média nos Principais Polos, considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*","Abicom IStoneX
FDefasagem Média Petrobras considera os 5 polos
etrobras
não inclui Aratu (Acelen)
Defasagem Média nos Principais Polos, considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*","Abicom IStoneX
FDefasagem Média Petrobras considera os 5 polos
etrobras
não inclui Aratu (Acelen)
Defasagem Média nos Principais Polos, considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*","Abicom IStoneX
FDefasagem Média Petrobras considera os 5 polos
etrobras
não inclui Aratu (Acelen)
Defasagem Média nos Principais Polos, considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*"
"Média[RsI
26/02/25
Média [%
Mínima (RSI
Óleo DieselA
4%
0,05
0,13
Gasolina A
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**","Média[RsI
26/02/25
Média [%
Mínima (RSI
Óleo DieselA
4%
0,05
0,13
Gasolina A
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**","Média[RsI
26/02/25
Média [%
Mínima (RSI
Óleo DieselA
4%
0,05
0,13
Gasolina A
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**","Média[RsI
26/02/25
Média [%
Mínima (RSI
Óleo DieselA
4%
0,05
0,13
Gasolina A
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**","Média[RsI
26/02/25
Média [%
Mínima (RSI
Óleo DieselA
4%
0,05
0,13
Gasolina A
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**","Média[RsI
26/02/25
Média [%
Mínima (RSI
Óleo DieselA
4%
0,05
0,13
Gasolina A
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**","Média[RsI
26/02/25
Média [%
Mínima (RSI
Óleo DieselA
4%
0,05
0,13
Gasolina A
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**","Média[RsI
26/02/25
Média [%
Mínima (RSI
Óleo DieselA
4%
0,05
0,13
Gasolina A
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**"
"26/02/25
Média
Máxima (RSIL)
Mínima (RSIL)","26/02/25
Média
Máxima (RSIL)
Mínima (RSIL)","26/02/25
Média
Máxima (RSIL)
Mínima (RSIL)","26/02/25
Média
Máxima (RSIL)
Mínima (RSIL)","26/02/25
Média
Máxima (RSIL)
Mínima (RSIL)","26/02/25
Média
Máxima (RSIL)
Mínima (RSIL)","26/02/25
Média
Máxima (RSIL)
Mínima (RSIL)","26/02/25
Média
Máxima (RSIL)
Mínima (RSIL)"
"Óleo Diesel A
-0,18
3%
-0,03
ENERGIA
ABICOM
PPI
0,15
0,01
Gasolina
0,06","Óleo Diesel A
-0,18
3%
-0,03
ENERGIA
ABICOM
PPI
0,15
0,01
Gasolina
0,06","Óleo Diesel A
-0,18
3%
-0,03
ENERGIA
ABICOM
PPI
0,15
0,01
Gasolina
0,06","Óleo Diesel A
-0,18
3%
-0,03
ENERGIA
ABICOM
PPI
0,15
0,01
Gasolina
0,06","Óleo Diesel A
-0,18
3%
-0,03
ENERGIA
ABICOM
PPI
0,15
0,01
Gasolina
0,06","Óleo Diesel A
-0,18
3%
-0,03
ENERGIA
ABICOM
PPI
0,15
0,01
Gasolina
0,06","Óleo Diesel A
-0,18
3%
-0,03
ENERGIA
ABICOM
PPI
0,15
0,01
Gasolina
0,06","Óleo Diesel A
-0,18
3%
-0,03
ENERGIA
ABICOM
PPI
0,15
0,01
Gasolina
0,06"
