0,1,2,3,4,5,6,7
"ACOMPANHAMENTO DIÁRIO
28/02/25","ACOMPANHAMENTO DIÁRIO
28/02/25",PETROBRAS,PETROBRAS,PETROBRAS,PETROBRAS,PETROBRAS,ACELEN
"ACOMPANHAMENTO DIÁRIO
28/02/25","ACOMPANHAMENTO DIÁRIO
28/02/25",Itaqui,Suape,Paulínia,Araucária,Itacoatiara,Aratu
lóleo Diesel A,,"3,6160",35889,37526,37238,37247,37365
lóleo Diesel A,PPI (RS/L),"3,7821",,"3,9680","3,9266","3,798","3,866"
lóleo Diesel A,Defasagem [RSI),"0,1661","0,1932","0,2154","0,20",0740,
lóleo Diesel A,% Defasado,,5%,6%,,,3%
Gasolina A,,29003,29176,30308,29909,9958,3088
Gasolina A,PPI (RS/L),29188,29188,"3,1047","3,0633",29355,"3,0035"
Gasolina A,Defasagem [RS/L),"0,0185",0012 _,"0,0739","-0,0724",0603,0852
Gasolina A,% Defasado,,,,,,3%
"Abicom
Defasagem Média Petrobras considera os 5 polos Petrobras
StoneX
não inclui Aratu (Acelen)
polos acima
""Defasagem Média nos Principais Polos, considerando os
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média[RsI
28/02/25
Média (%]
Máxima (RSL
Óleo DieselA
5%
017
022
Gasolina A
0.02
06
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
28/02/25
Média (%)
Máxima (RSIL)
Óleo Diesel A
4%
-0,16
-0,22
-0,07
ENERGIA
ABICOM - PPI
Gasolina A
0,09
0%","Abicom
Defasagem Média Petrobras considera os 5 polos Petrobras
StoneX
não inclui Aratu (Acelen)
polos acima
""Defasagem Média nos Principais Polos, considerando os
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média[RsI
28/02/25
Média (%]
Máxima (RSL
Óleo DieselA
5%
017
022
Gasolina A
0.02
06
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
28/02/25
Média (%)
Máxima (RSIL)
Óleo Diesel A
4%
-0,16
-0,22
-0,07
ENERGIA
ABICOM - PPI
Gasolina A
0,09
0%","Abicom
Defasagem Média Petrobras considera os 5 polos Petrobras
StoneX
não inclui Aratu (Acelen)
polos acima
""Defasagem Média nos Principais Polos, considerando os
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média[RsI
28/02/25
Média (%]
Máxima (RSL
Óleo DieselA
5%
017
022
Gasolina A
0.02
06
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
28/02/25
Média (%)
Máxima (RSIL)
Óleo Diesel A
4%
-0,16
-0,22
-0,07
ENERGIA
ABICOM - PPI
Gasolina A
0,09
0%","Abicom
Defasagem Média Petrobras considera os 5 polos Petrobras
StoneX
não inclui Aratu (Acelen)
polos acima
""Defasagem Média nos Principais Polos, considerando os
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média[RsI
28/02/25
Média (%]
Máxima (RSL
Óleo DieselA
5%
017
022
Gasolina A
0.02
06
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
28/02/25
Média (%)
Máxima (RSIL)
Óleo Diesel A
4%
-0,16
-0,22
-0,07
ENERGIA
ABICOM - PPI
Gasolina A
0,09
0%","Abicom
Defasagem Média Petrobras considera os 5 polos Petrobras
StoneX
não inclui Aratu (Acelen)
polos acima
""Defasagem Média nos Principais Polos, considerando os
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média[RsI
28/02/25
Média (%]
Máxima (RSL
Óleo DieselA
5%
017
022
Gasolina A
0.02
06
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
28/02/25
Média (%)
Máxima (RSIL)
Óleo Diesel A
4%
-0,16
-0,22
-0,07
ENERGIA
ABICOM - PPI
Gasolina A
0,09
0%","Abicom
Defasagem Média Petrobras considera os 5 polos Petrobras
StoneX
não inclui Aratu (Acelen)
polos acima
""Defasagem Média nos Principais Polos, considerando os
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média[RsI
28/02/25
Média (%]
Máxima (RSL
Óleo DieselA
5%
017
022
Gasolina A
0.02
06
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
28/02/25
Média (%)
Máxima (RSIL)
Óleo Diesel A
4%
-0,16
-0,22
-0,07
ENERGIA
ABICOM - PPI
Gasolina A
0,09
0%","Abicom
Defasagem Média Petrobras considera os 5 polos Petrobras
StoneX
não inclui Aratu (Acelen)
polos acima
""Defasagem Média nos Principais Polos, considerando os
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média[RsI
28/02/25
Média (%]
Máxima (RSL
Óleo DieselA
5%
017
022
Gasolina A
0.02
06
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
28/02/25
Média (%)
Máxima (RSIL)
Óleo Diesel A
4%
-0,16
-0,22
-0,07
ENERGIA
ABICOM - PPI
Gasolina A
0,09
0%","Abicom
Defasagem Média Petrobras considera os 5 polos Petrobras
StoneX
não inclui Aratu (Acelen)
polos acima
""Defasagem Média nos Principais Polos, considerando os
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média[RsI
28/02/25
Média (%]
Máxima (RSL
Óleo DieselA
5%
017
022
Gasolina A
0.02
06
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
28/02/25
Média (%)
Máxima (RSIL)
Óleo Diesel A
4%
-0,16
-0,22
-0,07
ENERGIA
ABICOM - PPI
Gasolina A
0,09
0%"
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*,DEFASAGEM MÉDIA NOS POLOS PETROBRAS*,DEFASAGEM MÉDIA NOS POLOS PETROBRAS*,DEFASAGEM MÉDIA NOS POLOS PETROBRAS*,DEFASAGEM MÉDIA NOS POLOS PETROBRAS*,"Abicom
Defasagem Média Petrobras considera os 5 polos Petrobras
StoneX
não inclui Aratu (Acelen)
polos acima
""Defasagem Média nos Principais Polos, considerando os
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média[RsI
28/02/25
Média (%]
Máxima (RSL
Óleo DieselA
5%
017
022
Gasolina A
0.02
06
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
28/02/25
Média (%)
Máxima (RSIL)
Óleo Diesel A
4%
-0,16
-0,22
-0,07
ENERGIA
ABICOM - PPI
Gasolina A
0,09
0%","Abicom
Defasagem Média Petrobras considera os 5 polos Petrobras
StoneX
não inclui Aratu (Acelen)
polos acima
""Defasagem Média nos Principais Polos, considerando os
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média[RsI
28/02/25
Média (%]
Máxima (RSL
Óleo DieselA
5%
017
022
Gasolina A
0.02
06
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
28/02/25
Média (%)
Máxima (RSIL)
Óleo Diesel A
4%
-0,16
-0,22
-0,07
ENERGIA
ABICOM - PPI
Gasolina A
0,09
0%","Abicom
Defasagem Média Petrobras considera os 5 polos Petrobras
StoneX
não inclui Aratu (Acelen)
polos acima
""Defasagem Média nos Principais Polos, considerando os
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média[RsI
28/02/25
Média (%]
Máxima (RSL
Óleo DieselA
5%
017
022
Gasolina A
0.02
06
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
28/02/25
Média (%)
Máxima (RSIL)
Óleo Diesel A
4%
-0,16
-0,22
-0,07
ENERGIA
ABICOM - PPI
Gasolina A
0,09
0%"
28/02/25,Média (%],Média[RsI,Máxima (RSL,,"Abicom
Defasagem Média Petrobras considera os 5 polos Petrobras
StoneX
não inclui Aratu (Acelen)
polos acima
""Defasagem Média nos Principais Polos, considerando os
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média[RsI
28/02/25
Média (%]
Máxima (RSL
Óleo DieselA
5%
017
022
Gasolina A
0.02
06
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
28/02/25
Média (%)
Máxima (RSIL)
Óleo Diesel A
4%
-0,16
-0,22
-0,07
ENERGIA
ABICOM - PPI
Gasolina A
0,09
0%","Abicom
Defasagem Média Petrobras considera os 5 polos Petrobras
StoneX
não inclui Aratu (Acelen)
polos acima
""Defasagem Média nos Principais Polos, considerando os
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média[RsI
28/02/25
Média (%]
Máxima (RSL
Óleo DieselA
5%
017
022
Gasolina A
0.02
06
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
28/02/25
Média (%)
Máxima (RSIL)
Óleo Diesel A
4%
-0,16
-0,22
-0,07
ENERGIA
ABICOM - PPI
Gasolina A
0,09
0%","Abicom
Defasagem Média Petrobras considera os 5 polos Petrobras
StoneX
não inclui Aratu (Acelen)
polos acima
""Defasagem Média nos Principais Polos, considerando os
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média[RsI
28/02/25
Média (%]
Máxima (RSL
Óleo DieselA
5%
017
022
Gasolina A
0.02
06
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
28/02/25
Média (%)
Máxima (RSIL)
Óleo Diesel A
4%
-0,16
-0,22
-0,07
ENERGIA
ABICOM - PPI
Gasolina A
0,09
0%"
Óleo DieselA,5%,017,022,,"Abicom
Defasagem Média Petrobras considera os 5 polos Petrobras
StoneX
não inclui Aratu (Acelen)
polos acima
""Defasagem Média nos Principais Polos, considerando os
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média[RsI
28/02/25
Média (%]
Máxima (RSL
Óleo DieselA
5%
017
022
Gasolina A
0.02
06
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
28/02/25
Média (%)
Máxima (RSIL)
Óleo Diesel A
4%
-0,16
-0,22
-0,07
ENERGIA
ABICOM - PPI
Gasolina A
0,09
0%","Abicom
Defasagem Média Petrobras considera os 5 polos Petrobras
StoneX
não inclui Aratu (Acelen)
polos acima
""Defasagem Média nos Principais Polos, considerando os
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média[RsI
28/02/25
Média (%]
Máxima (RSL
Óleo DieselA
5%
017
022
Gasolina A
0.02
06
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
28/02/25
Média (%)
Máxima (RSIL)
Óleo Diesel A
4%
-0,16
-0,22
-0,07
ENERGIA
ABICOM - PPI
Gasolina A
0,09
0%","Abicom
Defasagem Média Petrobras considera os 5 polos Petrobras
StoneX
não inclui Aratu (Acelen)
polos acima
""Defasagem Média nos Principais Polos, considerando os
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
Média[RsI
28/02/25
Média (%]
Máxima (RSL
Óleo DieselA
5%
017
022
Gasolina A
0.02
06
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
28/02/25
Média (%)
Máxima (RSIL)
Óleo Diesel A
4%
-0,16
-0,22
-0,07
ENERGIA
ABICOM - PPI
Gasolina A
0,09
0%"
