0,1,2,3,4,5,6,7
"ACOMPANHAMENTO DIÁRIO
21/02/25","ACOMPANHAMENTO DIÁRIO
21/02/25",PETROBRAS,PETROBRAS,PETROBRAS,PETROBRAS,PETROBRAS,ACELEN
"ACOMPANHAMENTO DIÁRIO
21/02/25","ACOMPANHAMENTO DIÁRIO
21/02/25",Itaqui,Suape,Paulínia,Araucária,Itacoatiara,Aratu
Óleo Diesel A,,"3,6160","3,5889",37526,37238,37247,37365
Óleo Diesel A,PPI (RS/L),"3,8586","3,8586","4,0477","4,0063",38753,"3,9432"
Óleo Diesel A,,"0,2426","0,2697",,"0,2825","0,1506","0,2067"
Óleo Diesel A,% Defasado,,,8%,8%,,6%
Gasolina A,,29003,29176,30308,,9958,"3,088"
Gasolina A,PPI (RS/L),29942,29942,31832,31419,"3,0108","3,0788"
Gasolina A,Defasagem (RS/L),"0,0939","-0,0766","0,1524","0,1510","0,0150",0099
Gasolina A,% Defasado,,,,,,
"Abicom IStoneX
polos Petrobras
não inclui Aratu (Acelen)
Defasagem Média Petrobras considera os
#Defasagem Média nos Principais Polos; considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*","Abicom IStoneX
polos Petrobras
não inclui Aratu (Acelen)
Defasagem Média Petrobras considera os
#Defasagem Média nos Principais Polos; considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*","Abicom IStoneX
polos Petrobras
não inclui Aratu (Acelen)
Defasagem Média Petrobras considera os
#Defasagem Média nos Principais Polos; considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*","Abicom IStoneX
polos Petrobras
não inclui Aratu (Acelen)
Defasagem Média Petrobras considera os
#Defasagem Média nos Principais Polos; considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*","Abicom IStoneX
polos Petrobras
não inclui Aratu (Acelen)
Defasagem Média Petrobras considera os
#Defasagem Média nos Principais Polos; considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*","Abicom IStoneX
polos Petrobras
não inclui Aratu (Acelen)
Defasagem Média Petrobras considera os
#Defasagem Média nos Principais Polos; considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*","Abicom IStoneX
polos Petrobras
não inclui Aratu (Acelen)
Defasagem Média Petrobras considera os
#Defasagem Média nos Principais Polos; considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*","Abicom IStoneX
polos Petrobras
não inclui Aratu (Acelen)
Defasagem Média Petrobras considera os
#Defasagem Média nos Principais Polos; considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*"
"21/02/25
Mínima (RSL
Máxima
Óleo DieselA
0,25
0,30
0,15
39
Gasolina A
0.02
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**","21/02/25
Mínima (RSL
Máxima
Óleo DieselA
0,25
0,30
0,15
39
Gasolina A
0.02
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**","21/02/25
Mínima (RSL
Máxima
Óleo DieselA
0,25
0,30
0,15
39
Gasolina A
0.02
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**","21/02/25
Mínima (RSL
Máxima
Óleo DieselA
0,25
0,30
0,15
39
Gasolina A
0.02
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**","21/02/25
Mínima (RSL
Máxima
Óleo DieselA
0,25
0,30
0,15
39
Gasolina A
0.02
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**","21/02/25
Mínima (RSL
Máxima
Óleo DieselA
0,25
0,30
0,15
39
Gasolina A
0.02
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**","21/02/25
Mínima (RSL
Máxima
Óleo DieselA
0,25
0,30
0,15
39
Gasolina A
0.02
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**","21/02/25
Mínima (RSL
Máxima
Óleo DieselA
0,25
0,30
0,15
39
Gasolina A
0.02
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**"
"Média (RSL)
Máxima (RSIL)
21/02/25
Média (%]","Média (RSL)
Máxima (RSIL)
21/02/25
Média (%]","Média (RSL)
Máxima (RSIL)
21/02/25
Média (%]","Média (RSL)
Máxima (RSIL)
21/02/25
Média (%]","Média (RSL)
Máxima (RSIL)
21/02/25
Média (%]","Média (RSL)
Máxima (RSIL)
21/02/25
Média (%]","Média (RSL)
Máxima (RSIL)
21/02/25
Média (%]","Média (RSL)
Máxima (RSIL)
21/02/25
Média (%]"
"Óleo Diesel A
-0,15
79
-0,24
-0,30
ENERGIA
ABICOM
PPI
Gasolina A
3%
0,01","Óleo Diesel A
-0,15
79
-0,24
-0,30
ENERGIA
ABICOM
PPI
Gasolina A
3%
0,01","Óleo Diesel A
-0,15
79
-0,24
-0,30
ENERGIA
ABICOM
PPI
Gasolina A
3%
0,01","Óleo Diesel A
-0,15
79
-0,24
-0,30
ENERGIA
ABICOM
PPI
Gasolina A
3%
0,01","Óleo Diesel A
-0,15
79
-0,24
-0,30
ENERGIA
ABICOM
PPI
Gasolina A
3%
0,01","Óleo Diesel A
-0,15
79
-0,24
-0,30
ENERGIA
ABICOM
PPI
Gasolina A
3%
0,01","Óleo Diesel A
-0,15
79
-0,24
-0,30
ENERGIA
ABICOM
PPI
Gasolina A
3%
0,01","Óleo Diesel A
-0,15
79
-0,24
-0,30
ENERGIA
ABICOM
PPI
Gasolina A
3%
0,01"
