0,1,2,3,4,5,6,7
"ACOMPANHAMENTO DIÁRIO
19/02/25","ACOMPANHAMENTO DIÁRIO
19/02/25",PETROBRAS,PETROBRAS,PETROBRAS,PETROBRAS,PETROBRAS,ACELEN
"ACOMPANHAMENTO DIÁRIO
19/02/25","ACOMPANHAMENTO DIÁRIO
19/02/25",Itaqui,Suape _,Paulínia,Araucária,Itacoatiara,Aratu
Óleo Diesel A,,"3,6160","3,5889","3,7526","3,7238","3,7247","3,7365"
Óleo Diesel A,,37507,37507,39306,889,"3,7674",38353
Óleo Diesel A,Defasagem (RS[L),"-0,1347","0,1618","0,1780","0,1654",0427,"0,0988"
Óleo Diesel A,% Defasado,~4%,,5%,,,3%
Gasolina A,,29003,29176,"3,0308",29909,9958,"3,088"
Gasolina A,,29974,29974,"3,1772",31358,"3,0141","3,0820"
Gasolina A,Defasagem (RS/L),"-0,0971","0,0798","0,1464","0,1449","0,0183","0,0067"
Gasolina A,% Defasado,,,,,,
"'Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu (Acelen)
#Defasagem Média nos Principais Polos, considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
19/02/25
Média (%)
Média (RSIL)
Máxima (RSIL)
Óeo DieseA
014
018
0,04
Gasolina
3%
0,15
-0,02
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
19/02/25
Média (RSL
Mínima (RSID
Óleo Diesel A
-0,13
4%
-0,18
-0,04
ENERGIA
ABICOM - PPI
Gasolina
39
0.01","'Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu (Acelen)
#Defasagem Média nos Principais Polos, considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
19/02/25
Média (%)
Média (RSIL)
Máxima (RSIL)
Óeo DieseA
014
018
0,04
Gasolina
3%
0,15
-0,02
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
19/02/25
Média (RSL
Mínima (RSID
Óleo Diesel A
-0,13
4%
-0,18
-0,04
ENERGIA
ABICOM - PPI
Gasolina
39
0.01","'Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu (Acelen)
#Defasagem Média nos Principais Polos, considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
19/02/25
Média (%)
Média (RSIL)
Máxima (RSIL)
Óeo DieseA
014
018
0,04
Gasolina
3%
0,15
-0,02
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
19/02/25
Média (RSL
Mínima (RSID
Óleo Diesel A
-0,13
4%
-0,18
-0,04
ENERGIA
ABICOM - PPI
Gasolina
39
0.01","'Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu (Acelen)
#Defasagem Média nos Principais Polos, considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
19/02/25
Média (%)
Média (RSIL)
Máxima (RSIL)
Óeo DieseA
014
018
0,04
Gasolina
3%
0,15
-0,02
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
19/02/25
Média (RSL
Mínima (RSID
Óleo Diesel A
-0,13
4%
-0,18
-0,04
ENERGIA
ABICOM - PPI
Gasolina
39
0.01","'Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu (Acelen)
#Defasagem Média nos Principais Polos, considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
19/02/25
Média (%)
Média (RSIL)
Máxima (RSIL)
Óeo DieseA
014
018
0,04
Gasolina
3%
0,15
-0,02
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
19/02/25
Média (RSL
Mínima (RSID
Óleo Diesel A
-0,13
4%
-0,18
-0,04
ENERGIA
ABICOM - PPI
Gasolina
39
0.01","'Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu (Acelen)
#Defasagem Média nos Principais Polos, considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
19/02/25
Média (%)
Média (RSIL)
Máxima (RSIL)
Óeo DieseA
014
018
0,04
Gasolina
3%
0,15
-0,02
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
19/02/25
Média (RSL
Mínima (RSID
Óleo Diesel A
-0,13
4%
-0,18
-0,04
ENERGIA
ABICOM - PPI
Gasolina
39
0.01","'Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu (Acelen)
#Defasagem Média nos Principais Polos, considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
19/02/25
Média (%)
Média (RSIL)
Máxima (RSIL)
Óeo DieseA
014
018
0,04
Gasolina
3%
0,15
-0,02
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
19/02/25
Média (RSL
Mínima (RSID
Óleo Diesel A
-0,13
4%
-0,18
-0,04
ENERGIA
ABICOM - PPI
Gasolina
39
0.01","'Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu (Acelen)
#Defasagem Média nos Principais Polos, considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
19/02/25
Média (%)
Média (RSIL)
Máxima (RSIL)
Óeo DieseA
014
018
0,04
Gasolina
3%
0,15
-0,02
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
19/02/25
Média (RSL
Mínima (RSID
Óleo Diesel A
-0,13
4%
-0,18
-0,04
ENERGIA
ABICOM - PPI
Gasolina
39
0.01"
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*,DEFASAGEM MÉDIA NOS POLOS PETROBRAS*,DEFASAGEM MÉDIA NOS POLOS PETROBRAS*,DEFASAGEM MÉDIA NOS POLOS PETROBRAS*,DEFASAGEM MÉDIA NOS POLOS PETROBRAS*,"'Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu (Acelen)
#Defasagem Média nos Principais Polos, considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
19/02/25
Média (%)
Média (RSIL)
Máxima (RSIL)
Óeo DieseA
014
018
0,04
Gasolina
3%
0,15
-0,02
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
19/02/25
Média (RSL
Mínima (RSID
Óleo Diesel A
-0,13
4%
-0,18
-0,04
ENERGIA
ABICOM - PPI
Gasolina
39
0.01","'Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu (Acelen)
#Defasagem Média nos Principais Polos, considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
19/02/25
Média (%)
Média (RSIL)
Máxima (RSIL)
Óeo DieseA
014
018
0,04
Gasolina
3%
0,15
-0,02
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
19/02/25
Média (RSL
Mínima (RSID
Óleo Diesel A
-0,13
4%
-0,18
-0,04
ENERGIA
ABICOM - PPI
Gasolina
39
0.01","'Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu (Acelen)
#Defasagem Média nos Principais Polos, considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*
19/02/25
Média (%)
Média (RSIL)
Máxima (RSIL)
Óeo DieseA
014
018
0,04
Gasolina
3%
0,15
-0,02
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**
19/02/25
Média (RSL
Mínima (RSID
Óleo Diesel A
-0,13
4%
-0,18
-0,04
ENERGIA
ABICOM - PPI
Gasolina
39
0.01"
