0,1,2,3,4,5,6,7
"ACOMPANHAMENTO DIÁRIO
20/02/25","ACOMPANHAMENTO DIÁRIO
20/02/25",PETROBRAS,PETROBRAS,PETROBRAS,PETROBRAS,PETROBRAS,ACELEN
"ACOMPANHAMENTO DIÁRIO
20/02/25","ACOMPANHAMENTO DIÁRIO
20/02/25",Itaqui,Suape,Paulínia,Araucária,Itacoatiara,Aratu
Óleo Diesel A,,"3,6160","3,5889","3,7526","3,7238",37247,"3,7365"
Óleo Diesel A,PPIRSI,37817,37817,39639,39225,7983,
Óleo Diesel A,Defasagem [RS/L),"0,1657","-0,1928",02113,"0,198",0736,"0,1298"
Óleo Diesel A,Defasado,,5%,6%,5%,,3%
Gasolina A,Preco [RSIL),29003,29176,"3,0308","2,9909",9958,"3,088"""
Gasolina A,,30013,30013,"3,1836",31422,"3,0180","3,0859"
Gasolina A,Defasagem (RS/L),,"-0,0837","0,1528","0,1513",0222,0028
Gasolina A,% Defasado,39,,,,,
