nome_arquivo,pasta_pai,data_extraida_arquivo,largura_orig_px,altura_orig_px,tamanho_bytes,paulinia_diesel_preco,paulinia_diesel_pct_def,paulinia_gasolina_pct_def,itaqui_diesel_ppi,itaqui_gasolina_def_rs,aratu_diesel_preco,aratu_gasolina_ppi,tabela_detectada,erro_processamento,caminho_completo,mes_pasta,ano_pasta,modo_cor,formato_imagem
ppi-01-04-2025.jpg,04-2025,2025-04-01,1113,486,263258,,,,,,,,True,,D:\acervo\projetos\01 - temporaria\Abicom-WebScrapping-Project\data\images\04-2025\ppi-01-04-2025.jpg,04,2025,,
ppi-02-04-2025.jpg,04-2025,2025-04-02,1106,483,258566,,,,,,,,True,,D:\acervo\projetos\01 - temporaria\Abicom-WebScrapping-Project\data\images\04-2025\ppi-02-04-2025.jpg,04,2025,,
ppi-03-04-2025.jpg,04-2025,2025-04-03,1105,485,264064,,,,,,,,True,,D:\acervo\projetos\01 - temporaria\Abicom-WebScrapping-Project\data\images\04-2025\ppi-03-04-2025.jpg,04,2025,,
ppi-04-04-2025.jpg,04-2025,2025-04-04,1108,486,263148,,,,,,,,True,,D:\acervo\projetos\01 - temporaria\Abicom-WebScrapping-Project\data\images\04-2025\ppi-04-04-2025.jpg,04,2025,,
ppi-07-04-2025.jpg,04-2025,2025-04-07,1103,484,262630,,,,,,,,True,,D:\acervo\projetos\01 - temporaria\Abicom-WebScrapping-Project\data\images\04-2025\ppi-07-04-2025.jpg,04,2025,,
ppi-08-04-2025.jpg,04-2025,2025-04-08,1105,483,255538,,,,,,,,True,,D:\acervo\projetos\01 - temporaria\Abicom-WebScrapping-Project\data\images\04-2025\ppi-08-04-2025.jpg,04,2025,,
ppi-09-04-2025.jpg,04-2025,2025-04-09,1103,488,262793,,,,,,,,True,,D:\acervo\projetos\01 - temporaria\Abicom-WebScrapping-Project\data\images\04-2025\ppi-09-04-2025.jpg,04,2025,,
ppi-10-04-2025.jpg,04-2025,2025-04-10,1104,486,263569,,,,,,,,True,,D:\acervo\projetos\01 - temporaria\Abicom-WebScrapping-Project\data\images\04-2025\ppi-10-04-2025.jpg,04,2025,,
ppi-11-04-2025.jpg,04-2025,2025-04-11,1109,485,255936,,,,,,,,True,,D:\acervo\projetos\01 - temporaria\Abicom-WebScrapping-Project\data\images\04-2025\ppi-11-04-2025.jpg,04,2025,,
ppi-25-05-2025.jpg,05-2025,2025-05-25,1102,484,262473,,,,,,,,True,,D:\acervo\projetos\01 - temporaria\Abicom-WebScrapping-Project\data\images\05-2025\ppi-25-05-2025.jpg,05,2025,,
