0,1,2,3,4,5,6,7
"ACOMPANHAMENTO DIÁRIO
25/02/25","ACOMPANHAMENTO DIÁRIO
25/02/25",PETROBRAS,PETROBRAS,PETROBRAS,PETROBRAS,PETROBRAS,ACELEN
"ACOMPANHAMENTO DIÁRIO
25/02/25","ACOMPANHAMENTO DIÁRIO
25/02/25",Itaqui_,Suape_,Paulínia,Araucária,Itacoatiara,Aratu
"Óleo
Diesel A",,"3,6160",35889,37526,"3,7238",27247,"3,7365"
"Óleo
Diesel A",PPRSIL,37694,37694,3958,39174,"3,7860",38540
"Óleo
Diesel A",Defasagem (RS[L),"-0,1534","0,1805",,"0,1936",0613,"0,1175"
"Óleo
Diesel A",% Defasado,~4%,5%,5%,5%,,3%
Gasolina A,,29003,29176,"3,0308","2,9909","2,9958","3,0887"
Gasolina A,,28909,28909,"3,0803","3,0389",29075,29755
Gasolina A,Defasagem (RS/L),"0,0094","0,0267","0,0495","0,0480",0883,"0,1132"
Gasolina A,% Defasado,,,,,,49
"Abicom
'Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu (Acelen)
StoneX
'Defasagem Média nos Principais Polos considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*","Abicom
'Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu (Acelen)
StoneX
'Defasagem Média nos Principais Polos considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*","Abicom
'Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu (Acelen)
StoneX
'Defasagem Média nos Principais Polos considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*","Abicom
'Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu (Acelen)
StoneX
'Defasagem Média nos Principais Polos considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*","Abicom
'Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu (Acelen)
StoneX
'Defasagem Média nos Principais Polos considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*","Abicom
'Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu (Acelen)
StoneX
'Defasagem Média nos Principais Polos considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*","Abicom
'Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu (Acelen)
StoneX
'Defasagem Média nos Principais Polos considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*","Abicom
'Defasagem Média Petrobras considera os
polos Petrobras
não inclui Aratu (Acelen)
StoneX
'Defasagem Média nos Principais Polos considerando os
polos acima
DEFASAGEM MÉDIA NOS POLOS PETROBRAS*"
"25/02/25
Média (%)
Média (RSIL)
Óleo DieselA
0,16
021
0,06","25/02/25
Média (%)
Média (RSIL)
Óleo DieselA
0,16
021
0,06","25/02/25
Média (%)
Média (RSIL)
Óleo DieselA
0,16
021
0,06","25/02/25
Média (%)
Média (RSIL)
Óleo DieselA
0,16
021
0,06","25/02/25
Média (%)
Média (RSIL)
Óleo DieselA
0,16
021
0,06","25/02/25
Média (%)
Média (RSIL)
Óleo DieselA
0,16
021
0,06","25/02/25
Média (%)
Média (RSIL)
Óleo DieselA
0,16
021
0,06","25/02/25
Média (%)
Média (RSIL)
Óleo DieselA
0,16
021
0,06"
"-0,05
Gasolina A
0,09
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**","-0,05
Gasolina A
0,09
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**","-0,05
Gasolina A
0,09
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**","-0,05
Gasolina A
0,09
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**","-0,05
Gasolina A
0,09
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**","-0,05
Gasolina A
0,09
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**","-0,05
Gasolina A
0,09
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**","-0,05
Gasolina A
0,09
DEFASAGEM MÉDIA NOS PRINCIPAIS POLOS**"
25/02/25,25/02/25,25/02/25,25/02/25,25/02/25,25/02/25,25/02/25,25/02/25
"Óleo Diesel A
-0,15
-0,21
4%
ENERGIA
ABICOM - PPI
011
Gasolina
0.02","Óleo Diesel A
-0,15
-0,21
4%
ENERGIA
ABICOM - PPI
011
Gasolina
0.02","Óleo Diesel A
-0,15
-0,21
4%
ENERGIA
ABICOM - PPI
011
Gasolina
0.02","Óleo Diesel A
-0,15
-0,21
4%
ENERGIA
ABICOM - PPI
011
Gasolina
0.02","Óleo Diesel A
-0,15
-0,21
4%
ENERGIA
ABICOM - PPI
011
Gasolina
0.02","Óleo Diesel A
-0,15
-0,21
4%
ENERGIA
ABICOM - PPI
011
Gasolina
0.02","Óleo Diesel A
-0,15
-0,21
4%
ENERGIA
ABICOM - PPI
011
Gasolina
0.02","Óleo Diesel A
-0,15
-0,21
4%
ENERGIA
ABICOM - PPI
011
Gasolina
0.02"
